w	(danh từ) w, w (v kép).
wisher	(danh từ) người cầu chúc.
wishful	(tính từ) thèm muốn ao ước; ước mong, mong muốn.
wishful	(tính từ) (thông tục) đó chỉ là lấy ước m làm sự thật.
wishing	(danh từ) sự mong muốn, sự ao ước.
wishing	(danh từ) sự chúc mừng; lời chúc tụng.
wishing-bone	(danh từ) chạc xưng đòn (của chim).
wishy-washy	(tính từ) nhạt, lo ng (rượu, cà phê...).
wishy-washy	(tính từ) nhạt phèo (câu chuyện).
wisp	(danh từ) nắm, mớ, búi.
wisp	(danh từ) (nghĩa bóng) làn (khói).
wisp	(danh từ) (động vật học) bầy chim bay.
wisp	(danh từ) (thông tục) oắt con, đồ nh i nhép; người lùn tịt.
wispy	(tính từ) như làn, như dải, thành làn, thành dải; mỏng manh, lưa thưa.
wistaria	(danh từ) (thực vật học) cây đậu tía.
wisteria	(danh từ) (thực vật học) cây đậu tía (một trong nhiều loại cây leo có thân gỗ và hoa chùm dài rũ xuống màu trắng hoặc tím nhạt).
wistful	(tính từ) có vẻ thèm muốn, có vẻ khao khát.
wistful	(tính từ) có vẻ ngẫm nghĩ, có vẻ đăm chiêu.
wistfully	(phó từ) bâng khuâng, đăm chiêu; nuối tiếc, buồn bã.
wistfully	(phó từ) có vẻ thèm muốn, có vẻ khao khát.
wistfulness	(danh từ) sự bâng khuâng, sự đăm chiêu; sự nuối tiếc, sự buồn bã.
wistfulness	(danh từ) sự có vẻ thèm muốn, sự có vẻ khao khát.
wit	(danh từ) trí, trí thông minh, trí sáng suốt, trí tuệ, trí khôn.
wit	(danh từ) (số nhiều) mưu kế.
wit	(danh từ) sự hóm hỉnh, sự dí dỏm.
wit	(danh từ) người hóm hỉnh, người dí dỏm.
wit	(động từ) (từ cổ, nghĩa cổ) biết.
witch	(danh từ) mụ phù thuỷ.
witch	(danh từ) mụ già xấu xí.
witch	(danh từ) người đàn bà quyến rũ.
witch	(ngoại động từ) mê hoặc, làm mê hồn.
witch	(ngoại động từ) quyến rũ, làm say đắm.
witch-broom	(danh từ) chổi phép (của mụ phù thuỷ).
witch-doctor	(danh từ) phù thuỷ lang băm, thầy mo.
witch-hazel	(danh từ) (thực vật học) cây phỉ (loại cây ở châu a hoặc ở bắc mỹ có hoa vàng).
witch-hazel	(danh từ) chất nước chiếc từ vỏ cây phỉ (dùng để chữa các chỗ bầm tím hoặc chỗ sưng tấy trên da).
witch-hunt	(danh từ) sự lùng tìm và diệt những người nghi là phù thủy.
witch-hunt	(danh từ) (nghĩa bóng) cuộc điều tra để khủng bố những người không theo chính phái, cuộc điều tra để khủng bố những người có quan điểm không phổ biến.
witch-hunting	(danh từ) (từ mỹ, nghĩa mỹ), (từ lóng) sự khủng bố những đối thủ chính trị (chủ yếu là những người cộng sn).
witchcraft	(danh từ) ma thuật, phép phù thuỷ.
witchcraft	(danh từ) sức mê hoặc, sức quyến rũ (của nụ cười, sắc đẹp...).
witchery	(danh từ) ma thuật, phép phù thuỷ.
witchery	(danh từ) sự mê hoặc, sự quyến rũ; sức quyến rũ.
witching	(tính từ) (thuộc) ma thuật, (thuộc) phép phù thuỷ.
witching	(tính từ) có sức quyến rũ, làm say mê.
with	(giới từ) với, cùng, cùng với.
with	(giới từ) có.
with	(giới từ) ở, ở ni.
with	(giới từ) bằng.
with	(giới từ) về, về phần.
with	(giới từ) vì.
with	(giới từ) đối với.
with	(giới từ) mặc dầu.
with	(giới từ) cũng như.
with	(giới từ) nay mà, lúc mà, trong khi.
withal	(phó từ) (từ cổ, nghĩa cổ) cũng, đồng thời, hn nữa, v lại.
withal	(giới từ) (từ cổ, nghĩa cổ) với, lấy.
withdraw	(ngoại động từ) rút, rút khỏi.
withdraw	(ngoại động từ) rút, rút lui.
withdraw	(ngoại động từ) rút, rút lại.
withdraw	(ngoại động từ) (pháp lý) sự huỷ bỏ; sự thu hồi.
withdraw	(ngoại động từ) kéo (màn).
withdraw	(nội động từ) rút lui (khỏi một ni).
withdraw	(nội động từ) (quân sự) rút quân.
withdraw	(nội động từ) ra, rút ra.
withdrawal	(danh từ) sự rút khỏi.
withdrawal	(danh từ) sự rút ra.
withdrawal	(danh từ) sự rút quân.
withdrawal	(danh từ) sự rút lui (ý kiến).
withdrawal	(danh từ) (pháp lý) sự rút (đn kiện...).
withdrawal	(danh từ) (pháp lý) sự huỷ bỏ; sự thu hồi (sắc lệnh...).
withdrawals	(danh từ) (kinh tế học) các con số tận rút.
withdrawn	(ngoại động từ) quá khứ phân từ của withdraw.
withdrew	(ngoại động từ) quá khứ của withdraw.
withe	(danh từ) (như) withy.
wither	(ngoại động từ) làm héo, làm tàn úa; làm teo.
wither	(ngoại động từ) làm khô héo, làm cho héo hắt đi.
wither	(ngoại động từ) làm cho bối rối.
wither	(nội động từ) héo, tàn, úa (cây cối, hoa).
wither	(nội động từ) héo mòn, tiều tuỵ (người); tàn tạ (sắc đẹp); tiêu tan (hy vọng...).
withering	(tính từ) héo, tàn úa (cây cỏ, hoa lá...).
withering	(tính từ) làm khô héo, làm héo hắt.
withering	(tính từ) làm bối rối.
withers	(danh từ) u vai (ngựa).
withers	(danh từ) tôi không hề nao núng, tôi vẫn thn nhiên (mặc dù lời buộc tội...).
withershins	(phó từ) (ê-cốt) ngược chiềm kim đồng hồ.
withheld	(ngoại động từ) quá khứ & quá khứ phân từ của withhold.
withhold	(ngoại động từ) từ chối không làm; từ chối không cho.
withhold	(ngoại động từ) giấu.
withhold	(ngoại động từ) ngăn cn, giữ lại.
withhold	(ngoại động từ) (pháp lý) chiếm giữ.
withholden	(động từ) quá khứ phân từ (cổ) của withhold.
withholding	(danh từ) sự từ chối không làm; sự từ chối không cho.
withholding	(danh từ) sự giấu giếm (sự thật...).
withholding	(danh từ) sự ngăn cn.
withholding	(danh từ) (pháp lý) sự chiếm giữ (tài sn).
withholding tax	(danh từ) (kinh tế học) thuế chuyển lợi nhuận về nước.
within	(giới từ) ở trong, phía trong, bên trong, trong.
within	(giới từ) trong vòng, trong khong.
within	(giới từ) trong phạm vi.
within	(phó từ) (từ cổ, nghĩa cổ) ở trong, bên trong, ở phía trong.
within	(phó từ) (nghĩa bóng) trong lưng tâm, trong thâm tâm, trong tâm hồn.
within	(danh từ) phía trong, bên trong.
without	(giới từ) không, không có.
without	(giới từ) (từ cổ, nghĩa cổ) ngoài; khỏi.
without	(phó từ) (từ cổ, nghĩa cổ) bên ngoài, phía ngoài, ở ngoài, ngoài.
without	(liên từ) (từ cổ, nghĩa cổ) trừ phi.
without	(danh từ) phía ngoài, bên ngoài.
withs	(danh từ) (như) withy.
withstand	(động từ) chống lại, chống cự; chịu đựng.
withstanding	(danh từ) sự chống cự; sự chịu đựng.
withstood	(ngoại động từ) quá khứ & quá khứ phân từ của withstand.
withy	(danh từ) cành liễu gai (để đan lát).
witless	(tính từ) ngu đần, đần độn.
witness	(danh từ) sự làm chứng.
witness	(danh từ) bằng chứng, chứng cớ, bằng cớ; vật làm chứng; lời khai làm chứng.
witness	(danh từ) người chứng kiến ((thường) eyes witness).
witness	(danh từ) (pháp lý) nhân chứng, người làm chứng.
witness	(danh từ) người chứng nhận, người làm chứng (trong đn từ, tờ khai).
witness	(ngoại động từ) chứng kiến.
witness	(ngoại động từ) chứng tỏ, để lộ ra, nói lên.
witness	(ngoại động từ) (pháp lý) làm chứng cho.
witness	(ngoại động từ) ký chứng nhận.
witness	(nội động từ) làm chứng.
witness	(nội động từ) chứng thực.
witness-box	(danh từ) ghế nhân chứng (trong toà án).
witness-stand	(danh từ) (từ mỹ, nghĩa mỹ) (như) witness-box.
witted	(tính từ) thông minh; khôn.
witted	(tính từ) có trí óc (dùng trong từ ghép).
witter	(nội động từ) (thông tục) lải nhải, nói hoài (một chuyện không quan trọng).
witticism	(danh từ) lời nói dí dỏm, lời nhận xét tế nhị.
wittiness	(danh từ) tính chất dí dỏm, tính chất tế nhị (của lời nói, nhận xét...).
wittingly	(phó từ) có ý thức, tự giác, có suy nghĩ.
witty	(tính từ) dí dỏm, tế nhị.
wive	(nội động từ) (từ hiếm, nghĩa hiếm) lấy làm vợ, cưới vợ.
wive	(ngoại động từ) (từ hiếm, nghĩa hiếm) lấy (làm vợ), cưới.
wive	(ngoại động từ) cưới vợ (cho người nào).
wivern	(danh từ) rồng bay (ở huy hiệu).
wives	(danh từ) vợ.
wives	(danh từ) (từ cổ, nghĩa cổ) người đàn bà; bà già.
wizard	(danh từ) thầy phù thuỷ.
wizard	(danh từ) người có tài lạ.
wizard	(tính từ) ngôn ngữ nhà trường), (từ lóng) kỳ lạ.
wizardry	(danh từ) ma thuật, quỷ thật.
wizen	(tính từ) khô xác, nhăn nheo.
wizened	(tính từ) khô xác, nhăn nheo.
wizier	(danh từ) tể tướng (a-rập), vizia.
wk	(danh từ) tuần lễ (week).
wk	(danh từ) công việc (work).
wmo	(viết tắt) tổ chức khí tượng thế giới (world meteorological organization).
wmo	(viết tắt) viết tắt.
wmo	(viết tắt) tổ chức khí tượng thế giới (world meteorological organization).
wo	(thán từ) họ!, họ! (để ngựa... dừng lại).
woad	(danh từ) (thực vật học) cây tùng lam, cây cái nhuộm.
woad	(danh từ) chất tùng lam (lấy ở lá cây tùng lam, để nhuộm).
woad	(nội động từ) nhuộm bằng chất tùng lam.
wobble	(danh từ) sự lắc lư, sự nghiêng bên nọ ngả bên kia.
wobble	(danh từ) sự rung rinh.
wobble	(danh từ) sự rung rung, sự run run (giọng nói).
wobble	(danh từ) (nghĩa bóng) sự do dự, sự lưỡng lự; sự nghiêng ngả (về chính kiến...).
wobble	(nội động từ) lắc lư, nghiêng bên nọ ngả bên kia.
wobble	(nội động từ) lung lay (cái bàn...).
wobble	(nội động từ) lảo đảo, loạng choạng (người).
wobble	(nội động từ) rung rung, run run (giọng nói).
wobble	(nội động từ) (nghĩa bóng) lưỡng lự, do dự, nghiêng ngả.
wobbler	(danh từ) người do dự, người hay lưỡng lự; người hay nghiêng ngả.
wobbly	(tính từ) lung lay.
wobbly	(tính từ) loạng choạng, lảo đảo (người).
wobbly	(tính từ) rung rung, run run (giọng nói).
wobbly	(tính từ) (nghĩa bóng) do dự, lưỡng lự; nghiêng ngả (người).
wodge	(danh từ) (+of something) (thông tục) một miếng lớn, một khối lượng lớn.
woe	(danh từ) sự đau buồn; điều phiền muộn, nỗi đau khổ, nỗi thống khổ.
woe	(danh từ) (số nhiều) tai hoạ, tai ương.
woebegone	(tính từ) buồn rầu, khổ sở, thiểu não.
woeful	(tính từ) buồn rầu, thiểu não (người).
woeful	(tính từ) đáng buồn, đáng thương.
woeful	(tính từ) đau khổ, thống khổ, đầy tai ương.
woefully	(phó từ) buồn rầu, tang thương.
woefully	(phó từ) đáng thương.
woefully	(phó từ) (thông tục) ghê, ghê gớm.
woesome	(tính từ) buồn rầu, thiểu não (người).
woesome	(tính từ) đáng buồn, đáng thương.
woesome	(tính từ) đau khổ, thống khổ, đầy tai ương.
wok	(danh từ) cái xanh, chảo (chảo lớn có hình như chiếc bát, để nấu nướng; nhất là thức ăn trung quốc).
woke	(động từ) quá khứ của wake.
woken	(động từ) quá khứ phân từ của wake.
wold	(danh từ) truông; vùng đất hoang.
wolf	(danh từ) (động vật học) chó sói.
wolf	(danh từ) người tham tàn, người độc ác, người hung tàn.
wolf	(danh từ) (từ mỹ, nghĩa mỹ), (từ lóng) người hay chim gái.
wolf	(ngoại động từ) ngốn, nuốt ngấu nghiến.
wolfs-bane	(danh từ) (thực vật học) cây phụ tử.
wolfs-claw	(danh từ) (thực vật học) cây thạch tùng.
wolfs-claws	(danh từ) (thực vật học) cây thạch tùng.
wolf-call	(danh từ) (từ mỹ, nghĩa mỹ), (thông tục) tiếng huýt sáo (của anh chàng theo gái).
wolf-cub	(danh từ) chó sói con.
wolf-cub	(danh từ) sói con (hướng đạo).
wolf-dog	(danh từ) giống chó canh cừu (phòng chó sói).
wolf-dog	(danh từ) giống chó lai sói.
wolf-hound	(danh từ) chó săn sói.
wolf-whistle	(danh từ) tiếng húyt sáo (do một người đàn ông phát ra để biểu lộ rằng anh ta thấy một người phụ nữ là hấp dẫn về tình dục).
wolf-whistle	(nội động từ) (+at) húyt sáo (một người đàn ông).
wolfish	(tính từ) (thuộc) chói sói; như chó sói.
wolfish	(tính từ) tham tàn, hung ác.
wolfish	(tính từ) (từ mỹ, nghĩa mỹ), (thông tục) rất đói.
wolfram	(danh từ) (hoá học) vonfam.
wolfram	(danh từ) (như) wolframite.
wolframite	(danh từ) (khoáng chất) vonfamit.
wolfskin	(danh từ) da chó sói.
wolfskin	(danh từ) đồ làm bằng da chó sói.
wolverene	(danh từ) (động vật học) chồn gulo.
wolverene	(danh từ) (từ mỹ, nghĩa mỹ) (wolverine) dân mi-si-gan.
wolverine	(danh từ) (động vật học) chồn gulo.
wolverine	(danh từ) (từ mỹ, nghĩa mỹ) (wolverine) dân mi-si-gan.
wolves	(danh từ) (động vật học) chó sói.
wolves	(danh từ) người tham tàn, người độc ác, người hung tàn.
wolves	(danh từ) (từ mỹ, nghĩa mỹ), (từ lóng) người hay chim gái.
wolves	(ngoại động từ) ngốn, nuốt ngấu nghiến.
woman	(danh từ) đàn bà, phụ nữ.
woman	(danh từ) giới đàn bà, nữ giới.
woman	(danh từ) kẻ nhu nhược (như đàn bà).
woman	(danh từ) tính chất đàn bà, tình cảm đàn bà, nữ tính.
woman	(danh từ) (từ cổ, nghĩa cổ) bà hầu cận (của vua, của một nhà quý tộc).
woman	(danh từ) (định ngữ) nữ, đàn bà, gái.
woman-hater	(danh từ) người ghét đàn bà.
womanhood	(danh từ) tính chất đàn bà, tính chất phụ nữ; nữ tính.
womanhood	(danh từ) thời kỳ đã trưởng thành của người phụ nữ (đối lại với thời kỳ con gái); tư cách phụ nữ.
womanhood	(danh từ) nữ giới, giới đàn bà.
womanise	(ngoại động từ) làm cho yếu đuối rụt rè như đàn bà.
womanise	(nội động từ) hay đi chơi gái.
womaniser	(danh từ) người có quan hệ lăng nhăng, người có quan hệ không đứng đắn (người đàn ông có quan hệ tình dục với nhiều phụ nữ).
womanish	(tính từ) như đàn bà, như con gái, yếu ớt, rụt rè.
womanish	(tính từ) hợp với nữ.
womanishness	(danh từ) tính chất yếu ớt rụt rè (như đàn bà).
womanize	(ngoại động từ) làm cho yếu đuối rụt rè như đàn bà.
womanize	(nội động từ) hay đi chơi gái.
womanizer	(danh từ) người có quan hệ lăng nhăng, người có quan hệ không đứng đắn (người đàn ông có quan hệ tình dục với nhiều phụ nữ).
womankind	(danh từ) nữ giới, giới phụ nữ.
womanlike	(tính từ) như đàn bà, như phụ nữ.
womanlike	(tính từ) (thuộc) phụ nữ, (thuộc) đàn bà.
womanliness	(danh từ) tình cảm đàn bà, cử chỉ đàn bà; tính yếu ớt rụt rè (như đàn bà).
womanliness	(danh từ) tính nhu mì thuỳ mị (của đàn bà).
womanliness	(danh từ) vẻ kiều mị (của đàn bà).
womanly	(tính từ) (thuộc) đàn bà.
womanly	(tính từ) nhu mì thuỳ mị.
womanly	(tính từ) kiều mị.
womb	(danh từ) (giải phẫu) dạ con, tử cung.
womb	(danh từ) (nghĩa bóng) ruột, trung tâm, lòng.
womb	(danh từ) từ khi lọt lòng đến lúc chết.
womb	(danh từ) (xem) fruit.
wombat	(danh từ) gấu túi (loài dã thú ở châu uc giống con gấu nhỏ, con cái mang con trong một cái túi).
women	(danh từ) đàn bà, phụ nữ.
women	(danh từ) giới đàn bà, nữ giới.
women	(danh từ) kẻ nhu nhược (như đàn bà).
women	(danh từ) tính chất đàn bà, tình cảm đàn bà, nữ tính.
women	(danh từ) (từ cổ, nghĩa cổ) bà hầu cận (của vua, của một nhà quý tộc).
women	(danh từ) (định ngữ) nữ, đàn bà, gái.
womens lib	(danh từ) nam nữ bình quyền, giải phóng phụ nữ (quyền tự do của phụ nữ được hưởng các quyền về xã hội và kinh tế của phụ nữ ngang với nam giới).
womens libber	(danh từ) (thông tục) người đấu tranh cho lý tưởng nam nữ bình quyền, người bênh vực quyền của nữ giới.
womens liberation	(danh từ) nam nữ bình quyền, giải phóng phụ nữ (quyền tự do của phụ nữ được hưởng các quyền về xã hội và kinh tế của phụ nữ ngang với nam giới).
womens movement	(danh từ) (the womens movement) phong trào giải phóng phụ nữ.
womenfolk	(danh từ) nữ giới, giới đàn bà.
womenfolk	(danh từ) đàn bà con gái (trong gia đình).
won	(động từ) quá khứ & quá khứ phân từ của win.
wonder	(danh từ) vật kỳ diệu, kỳ quan, vật phi thường; điều kỳ lạ, điều kỳ diệu; kỳ công.
wonder	(danh từ) người kỳ diệu, thần đồng.
wonder	(danh từ) sự ngạc nhiên, sự kinh ngạc.
wonder	(động từ) ngạc nhiên, lấy làm lạ, kinh ngạc.
wonder	(động từ) muốn biết, tự hỏi.
wonder-story	(danh từ) chuyện thần kì.
wonder-stricken	(tính từ) kinh ngạc.
wonder-struck	(tính từ) kinh ngạc.
wonder-work	(danh từ) kỳ quan.
wonderful	(tính từ) kỳ lạ, phi thường; kỳ diệu, thần kỳ.
wonderfully	(phó từ) đáng ngạc nhiên.
wonderfully	(phó từ) cực kỳ; đáng khâm phục.
wondering	(tính từ) ngạc nhiên, kinh ngạc.
wonderland	(danh từ) thế giới thần tiên.
wonderland	(danh từ) đất nước thần kỳ.
wonderment	(danh từ) sự ngạc nhiên, sự kinh ngạc.
wonderment	(danh từ) điều kỳ lạ, điều phi thường, điều đáng ngạc nhiên.
wondrous	(tính từ) (thơ ca); (văn học) kỳ lạ, phi thường; kỳ diệu, thần kỳ.
wondrous	(phó từ) lạ lùng, kỳ diệu.
wondrousness	(danh từ) tính chất kỳ lạ, tính chất phi thường; tính chất kỳ diệu, tính chất thần kỳ.
wonky	(tính từ) (từ lóng) lung lay, lảo đảo, ọp ẹp.
wonky	(tính từ) què quặt, tàn tật; ốm yếu (người).
wonky	(tính từ) không đáng tin cậy.
wont	(tính từ) quen, có thói quen, thường.
wont	(danh từ) thói quen.
wonted	(tính từ) là thói thường (đối với ai), thông thường.
woo	(ngoại động từ) tán, ve, chim (gái).
woo	(ngoại động từ) (văn học) cầu hôn, dạm hỏi.
woo	(ngoại động từ) nài nỉ, tán tỉnh.
woo	(ngoại động từ) (nghĩa bóng) theo đuổi.
woo	(nội động từ) tán gái, ve gái, chim gái.
woo	(nội động từ) (văn học) đi cầu hôn.
woobut	(danh từ) (động vật học) sâu róm.
wood	(danh từ) gỗ.
wood	(danh từ) củi.
wood	(danh từ) ((thường) số nhiều) rừng.
wood	(danh từ) thùng gỗ (đựng rượu).
wood	(danh từ) (âm nhạc) (the wood) kèn sáo bằng gỗ.
wood	(danh từ) thấy cây mà không thấy rừng, nhìn thấy hiện tượng mà không thấy bản chất.
wood	(danh từ) (thông tục) nó dốt đặc, nó ngu lắm.
wood	(danh từ) khỏi nguy hiểm, thoát nạn.
wood	(danh từ) phát cáu, nổi giận.
wood	(danh từ) (từ mỹ, nghĩa mỹ), (từ lóng) chạy trốn, tẩu thoát.
wood	(tính từ) bằng gỗ.
wood	(tính từ) (thuộc) rừng.
wood	(động từ) cung cấp củi; lấy củi.
wood	(động từ) trồng rừng.
wood alcohol	(danh từ) (hoá học) rượu metanola.
wood lot	(danh từ) (từ mỹ, nghĩa mỹ) lô đất để trồng cây, khu vườn cây.
wood paper	(danh từ) giấy làm bằng bột gỗ.
wood spirit	(danh từ) (hoá học) rượu metanola.
wood-block	(danh từ) mộc bản.
wood-borer	(danh từ) mọt bore.
wood-burner	(danh từ) người đốt than.
wood-engraver	(danh từ) thợ khắc gỗ.
wood-engraver	(danh từ) (động vật học) mọt gỗ.
wood-fibre	(danh từ) sợi gỗ (để làm giấy).
wood-house	(danh từ) lều chứa củi.
wood-louse	(danh từ) (động vật học) con mối (loài sinh vật tựa côn trùng, không có cánh sống trong gỗ mục, đất ẩm...).
wood-nymph	(danh từ) (thần thoại, thần học) nữ thần rừng.
wood-pigeon	(danh từ) (động vật học) chim câu xanh (loài chim câu lớn sống hoang dã).
wood-pulp	(danh từ) bột gỗ (làm giấy).
wood-wind	(danh từ) (âm nhạc) kèn sáo bằng gỗ.
woodbind	(danh từ) (thực vật học) cây kim ngân.
woodbine	(danh từ) (thực vật học) cây kim ngân.
woodchuck	(danh từ) (động vật học) con macmôt.
woodcock	(danh từ) (động vật học) chim dẽ gà.
woodcraft	(danh từ) sự thông thạo rừng, tài đi rừng.
woodcut	(danh từ) tranh khắc gỗ, bản khắc gỗ.
woodcutter	(danh từ) người đẵn gỗ; tiều phu.
woodcutter	(danh từ) thợ khắc gỗ.
wooded	(tính từ) có rừng, lắm rừng, có nhiều cây cối.
wooden	(tính từ) bằng gỗ.
wooden	(tính từ) (nghĩa bóng) cứng đờ; đờ đẫn; vụng, lúng túng.
wooden	(tính từ) người ngu độn.
wooden	(tính từ) (sử học) thìa gỗ (tặng người đậu bét môn toán ở trường đại học căm-brít).
wooden-head	(danh từ) thằng ngốc, đồ ngu.
woodeness	(danh từ) tình trạng cứng và vụng.
woodenly	(phó từ) cứng và vụng.
woodenware	(danh từ) thùng chậu bằng gỗ.
woodland	(danh từ) miền rừng, vùng rừng.
woodland	(danh từ) (định ngữ) (thuộc) rừng.
woodlander	(danh từ) người ở miềm rừng.
woodless	(tính từ) không có rừng.
woodlice	(danh từ) (động vật học) con mối (loài sinh vật tựa côn trùng, không có cánh sống trong gỗ mục, đất ẩm...).
woodman	(danh từ) người đẵn gỗ; tiều phu.
woodman	(danh từ) nhân viên lâm nghiệp.
woodmen	(danh từ) người đẵn gỗ; tiều phu.
woodmen	(danh từ) nhân viên lâm nghiệp, thợ rừng, người làm nghề rừng.
woodpecker	(danh từ) (động vật học) chim gõ kiến.
woodpile	(danh từ) đống gỗ.
woodprint	(danh từ) tranh khắc gỗ, bản khắc gỗ.
woodshed	(danh từ) lều chứa củi.
woodside	(danh từ) bìa rừng.
woodsman	(danh từ) (từ mỹ, nghĩa mỹ) (như) woodman.
woodsy	(tính từ (từ mỹ, nghĩa mỹ)) (thuộc) rừng.
woodsy	(tính từ (từ mỹ, nghĩa mỹ)) ở rừng.
woodwind	(danh từ) các nhạc cụ hơi làm bằng gỗ trong một ban nhạc.
woodwind	(danh từ) người chơi các nhạc cụ hơi làm bằng gỗ trong một ban nhạc.
woodwork	(danh từ) nghề làm đồ gỗ, nghề mộc.
woodwork	(danh từ) đồ gỗ; phần mộc (của một căn nhà như cửa, rui, kèo...).
woodworker	(danh từ) thợ cưa, thợ xẻ; thợ mộc.
woodworm	(danh từ) (động vật học) con mọt.
woodworm	(danh từ) lỗ mọt khoét.
woody	(tính từ) có lắm rừng, lắm cây cối.
woody	(tính từ) (thuộc) rừng.
woody	(tính từ) (thực vật học) (thuộc) chất gỗ.
wooer	(danh từ) anh chàng tán gái.
wooer	(danh từ) người cầu hôn.
woof	(danh từ) sợi khổ (của tấm vải).
woofer	(danh từ) loa trầm (loa được thiết kế để phát ra các âm trầm một cách chính xác).
wooing	(danh từ) sự tán tỉnh, sự ve vãn, sự theo đuổi (đàn bà).
wooing	(danh từ) sự cầu hôn.
wooing	(tính từ) hay tán gái; trai lơ.
wool	(danh từ) len; lông cừu, lông chiên.
wool	(danh từ) hàng len; đồ len.
wool	(danh từ) hàng giống len.
wool	(danh từ) (thông tục) tóc dày và quăn.
wool	(danh từ) (thông tục) nổi giận.
wool	(danh từ) (xem) cry.
wool	(danh từ) lừa ai.
wool-gathering	(danh từ) sự đãng trí, sự lơ đễnh.
wool-gathering	(tính từ) đãng trí, lơ đễnh.
woolens	(danh từ) quần áo len (nhất là đan).
woollen	(tính từ) bằng len.
woollen	(tính từ) (thuộc) len dạ.
woollen	(danh từ ((thường) số nhiều)) hàng len.
woollens	(danh từ) quần áo len (nhất là đan).
woolly	(tính từ) có len, có lông len.
woolly	(tính từ) giống len, quăn tít, xoắn.
woolly	(tính từ) (thực vật học) có lông tơ.
woolly	(tính từ) (hội họa); (văn học) mờ, không rõ ràng, mập mờ, thiếu chính xác.
woolly	(danh từ) (thông tục) áo len dài tay.
woolly	(danh từ) ((thường) số nhiều) quần áo len.
woolly-bear	(danh từ) (động vật học) sâu róm.
woolly-headed	(tính từ) mơ hồ, không rõ ràng, không minh bạch (về một người, trí tuệ, lý lẽ, ý tưởng...của họ).
woolsack	(danh từ) đệm ngồi nhồi len (của chủ tịch ở thượng nghị viện anh).
woorali	(danh từ) nhựa độc cura (để tẩm vào mũi tên) (của người da đỏ).
woorara	(danh từ) nhựa độc cura (để tẩm vào mũi tên) (của người da đỏ).
woozy	(tính từ) (thông tục) cảm thấy chóng mặt, cảm thấy buồn nôn như sau khi uống rượu quá nhiều .
woozy	(tính từ) (thông tục) tinh thần lẫn lộn, mụ người.
wop	(danh từ) (wop) (từ mỹ, nghĩa mỹ), (từ lóng) người y cư trú ở mỹ.
word	(danh từ) từ.
word	(danh từ) lời nói, lời.
word	(danh từ) lời báo tin, tin tức, lời nhắn.
word	(danh từ) lời hứa, lời.
word	(danh từ) lệnh, khẩu hiệu.
word	(danh từ) (số nhiều) sự cãi nhau, lời qua tiếng lại.
word	(ngoại động từ) phát biểu, nói lên, bày tỏ, diễn tả.
word processing	(danh từ) (viết tắt: wp) sự xử lý văn bản.
word processor	(danh từ) (viết tắt: wp) máy xử lý văn bản, trình xử lý văn bản.
word-book	(danh từ) (ngôn ngữ học) từ vựng.
word-class	(danh từ) (ngôn ngữ) cấu tạo từ.
word-group	(danh từ) (ngôn ngữ) cụm từ; từ tổ; ngữ.
word-painter	(danh từ) người nghệ sĩ ngôn từ; nhà thơ, nhà văn.
word-painting	(danh từ) bài miêu tả.
word-perfect	(tính từ) thuộc vai (của mình trong vở kịch).
word-play	(danh từ) lối chơi chữ.
word-splitting	(danh từ) lối bẻ bai từng chữ, lối chẻ sợi tóc làm tư.
word-square	(danh từ) ô chữ.
wordformation	(danh từ) (ngôn ngữ) cấu tạo từ.
wordiness	(danh từ) tính chất dài dòng, tính chất lòng thòng.
wording	(danh từ) sự viết ra, cách viết; cách diễn tả.
wording	(danh từ) lời, từ.
wordless	(tính từ) không lời; lặng đi không nói được (vì ngạc nhiên, sợ hãi).
wordy	(tính từ) dài dòng.
wordy	(tính từ) khẩu, (bằng) miệng.
wore	(động từ) quá khứ của wear.
work	(danh từ) sự làm việc; việc, công việc, công tác.
work	(danh từ) việc làm; nghề nghiệp.
work	(danh từ) đồ làm ra, sản phẩm.
work	(danh từ) tác phẩm.
work	(danh từ) công trình xây dựng, công việc xây dựng.
work	(danh từ) dụng cụ, đồ dùng, vật liệu.
work	(danh từ) kiểu trang trí, cách trang trí (đồ thêu, may, đan, đồ da...).
work	(danh từ) (kỹ thuật) máy, cơ cấu.
work	(danh từ) (số nhiều) xưởng, nhà máy.
work	(danh từ) lao động, nhân công.
work	(danh từ) (quân sự) pháo đài, công sự.
work	(danh từ) (số nhiều) (hàng hải) phần tàu.
work	(danh từ) (vật lý) công.
work	(danh từ) (địa lý, địa chất) tác dụng.
work	(danh từ) (nghĩa bóng) việc làm, hành động.
work	(nội động từ) làm việc.
work	(nội động từ) hành động, hoạt động, làm.
work	(nội động từ) gia công, chế biến.
work	(nội động từ) lên men.
work	(nội động từ) tác động, có ảnh hưởng tới.
work	(nội động từ) đi qua, chuyển động; dần dần tự chuyển (lên, xuống); tự làm cho (lỏng, chặt...).
work	(nội động từ) chạy.
work	(nội động từ) tiến hành, tiến triển; có kết quả, có hiệu lực.
work	(nội động từ) (hàng hải) lách (tàu).
work	(nội động từ) nhăn nhó, cau lại (mặt); day dứt (ý nghĩ, lương tâm).
work	(ngoại động từ) bắt làm việc.
work	(ngoại động từ) làm lên men (bia...).
work	(ngoại động từ) thêu.
work	(ngoại động từ) làm cho (máy) chạy, chuyển vận.
