a-đô-nít	(dtừ) adonis.
âm láy	(dtừ) tremolo.
âm lãng	(dtừ) sound wave.
âm lập thể	(ttừ) stereo, stereophonic.
âm lịch	() lunar.
âm lịch	() lunar calendar.
âm luật	(dtừ) prosody.
âm luật	(dtừ) laws of writing verses.
âm lướt	(dtừ) vanish.
âm lượng	() sound quantity.
âm lượng	() volume.
âm lượng tự kiềm	() automatic volume control (avc).
âm mao	(dtừ) pubic hair.
âm mặt lưỡi	(dtừ) guttural.
âm môi	(dtừ) labial.
âm môi răng	(dtừ) labiodental.
âm môn	() như âm hộ.
âm mồm mũi	(dtừ) orinasal.
âm mũi	(dtừ) nasal tone.
âm mưu	() plot.
âm mưu	() scheme.
âm mưu	() conspiracy.
âm mưu đen tối	(dtừ) jiggery-pokery.
âm mưu lừa gạt	(dtừ) fraud.
âm nang	(dtừ) scrotum.
âm năm	(dtừ) quint.
âm năng	(dtừ) sound energy.
âm nền	(dtừ) pedal.
âm ngạc	(dtừ) palatal.
âm ngạc	(dtừ) palatal sound.
âm ngạc	(dtừ) như âm vòm miệng.
âm nghĩa	(dtừ) pronunciation and meaning.
âm nguyên	(ttừ) diatonic.
âm nguyên âm	(dtừ) vocalism.
âm nhai	() deep abyss.
âm nhạc	() music.
âm nhạc	() musical.
âm nhạc cổ điển	() classical music.
âm nhạc cụ thể	(thngữ) concrete music.
âm nhạc dân gian	() folk-music.
âm nhạc dân gian	() popular music.
âm nhạc đã được ghi	(thngữ) canned music.
âm nhạc học	(dtừ) musicology.
âm nhạc học	(ttừ) musicological.
âm nhạc tiêu đề	(dtừ) program-music.
âm nhân	(dtừ) musician.
âm nhấn	(dtừ) ictus, stress.
âm nước	() liquid.
âm phách	() ghost.
âm pháp	() musical mode.
âm phần	() grave and tombs.
âm phong	(dtừ) ghost wind.
âm phong	(dtừ) cold wind.
âm phổ	() musical score.
âm phù	() phonetic symbol.
âm phủ	() xem địa ngục.
âm quãng	(dtừ) an interval in music.
âm răng	(dtừ) dental.
âm sang	() fistula.
âm sát	() spirant, fricative.
âm sáu	(dtừ) sixth.
âm sắc	(dtừ) timbre (music and phonetics).
âm sớm	(dtừ) anticipation.
âm sự	() secret matters.
âm tán	() acoustic dispersion.
âm tạp	() (music) cacophony.
âm tạp khí quyển	(dtừ) atmospherics.
âm tắc	() stop.
âm tắc	() occlusive.
âm tắc mút	() (ling) suction stop.
âm tắc sát	() affricate.
âm tắc thanh hầu	(thngữ) glottal stop.
âm tắc xát	(dtừ) affricate.
âm tần	() audio frequency.
âm thanh	() sound.
âm thanh có nhịp	(dtừ) drumming.
âm thanh êm tai	(ttừ) euphonious.
âm thanh giả tạo	(dtừ) sound effects.
âm thanh hay thu tiếng theo một kênh	(dtừ) mono.
âm thanh học	() acoustics.
âm thanh kêu ù ù	(đtừ) drone.
âm thanh nổi	() stereophonic sound.
âm thanh vang to và thúc giục	(ttừ) clarion.
âm thất	(dtừ) private apartment.
âm thầm	() silent.
âm thầm	() discreet.
âm thầm	() unobtrusive.
âm thần	(dtừ) goddness.
âm thần	(dtừ) labia.
âm thiên	(dtừ) gloomy weather.
âm thoa	(dtừ) diapason, tuning fork.
âm ti	() xem địa ngục.
âm tiết	(dtừ) syllable.
âm tiết cuối	(dtừ) ultima.
âm tiết không trọng âm đầu câu	(dtừ) anacrusis.
âm tiết thơ	(dtừ) disyllable.
âm tiết thứ ba kể từ dưới lên	(dtừ) antepenult.
âm tiết trước âm tiết nhấn	(dtừ) pretone.
âm tiết xponđê	(dtừ) spondee.
âm tiết xponđê	(ttừ) spondaic.
âm tín	(dtừ) news.
âm tính	() female nature.
âm tính	() negative.
âm tỏ lời nói	(dtừ) phone.
âm tố	(dtừ) sound element.
âm trạch	(dtừ) a cementery.
âm trình	() interval.
âm trở	(dtừ) impedance.
âm trợ	() secret assistance.
âm trung	(dtừ) median.
âm trung dưới	(dtừ) submediant.
âm ty	(dtừ) grave, sheol, hades.
âm ty	(ttừ) plutonian.
âm u	(ttừ) gloomy, dreary, sombre.
âm u	(ttừ) overcast.
âm ủy	(dtừ) impotence.
âm ủy	(dtừ) impotency.
âm ư	() hum.
âm vang	() rescounding.
âm vận	() rime.
âm vận học	(dtừ) phonology.
âm vật	(dtừ) clitoris.
âm vị	(dtừ) phoneme.
âm vị học	(dtừ) phonology, phonemics.
âm vòm mềm	(dtừ) velar.
âm vòm miệng	() như âm ngạc.
âm xát	() fricative.
âm xuýt	(dtừ) sibilant, sibilance.
âm yết hầu	() pharyngal.
âm ỷ	(ttừ) xem âm ỉ.
ân	() favour, grace, good deed.
ân	() gratitude, thankfulness.
ân ái	() xem ái ân.
ân bổng	() benefice.
ân cần	() thoughtful.
ân cần	() hearty.
ân cần	() hospitable.
ân cần	() attentive.
ân cần	() considerate.
ân cần thân mật	(dtừ) geniality.
ân chiếu	() (từ-nghĩa cũ) king's decree (edict).
ân chủ	() benefactor, patron.
ân cố	() grace, gratitude.
ân điển	(dtừ) ừ-nghĩa cũ) benevolence, favour (of the king), grace.
ân đức	() xem ân 1.
ân gia	(dtừ) a benefactor.
ân giảm	(đtừ) to mitigate the punishment of, reduce a sentence.
ân hạn	(dtừ) days of grace, grace period.
ân hận	() to regret.
ân hận	() to repent.
ân hận	() to feel sorry for ....
ân hận	() to feel regret/remorse/compunction.
ân hận	() conscience-stricken/conscience-smitten.
ân hận	() penitent.
ân hận	() regretful.
ân hận	() remorseful.
ân hậu	(ttừ) generous, bountiful.
ân huệ	() favour.
ân huệ	() grace.
ân khoa	() (exceptional session of examination in feudal time held on a specific occasion) special examination.
ân mẫu	(dtừ) a foster mother.
ân miễn	() exempt, exempted, free (from).
ân nghĩa	(dtừ) feeling of gratitude (for favour received), good deed.
ân nghĩa	(dtừ) boon.
ân nhân	(dtừ) benefactor, benefactress.
ân nhân	(dtừ) fairy godmother.
ân nhi	() adopted son.
ân oán	() gratitude and rancour.
ân oán	() old scores.
ân phú	() wealthy.
ân phụ	() foster father.
ân sủng	(dtừ) privilege, protection, grace.
ân sư	() tutor.
ân sư	() mentor.
ân sư	() teacher.
ân sư	() preceptor.
ân thưởng	(đtừ) to reward (for), recompense (for), reward, recompense.
ân tình	(dtừ) deep feeling of gratitude.
ân tình	(dtừ) benevolence, kindness, goodwill.
ân tình	(ttừ) full of gratitude, full of deep affection.
ân trạch	() như ân huệ.
ân tứ	(dtừ) benevolence (granted by the king).
ân ưu	() be worried or concerned.
ân vọng	(dtừ) earnest expectation.
ân xá	() to grant amnesty to somebody.
ân xá	() to pardon.
âu	() perhaps.
âu	() maybe.
âu	() just.
âu	() xem châu âu.
âu á	() eurasia.
âu á	(ttừ) eurasian.
âu ca	() (từ-nghĩa cũ) sing in chorus the praises, song (in praise of peaceful life).
âu châu	(dtừ) europe.
âu dược	() european medicines.
âu đành	() consent (to something).
âu đựng nước xốt	(dtừ) sauce-boat.
âu hóa	(dtừ) europeanization.
âu hóa	(ngđtừ) europeanise, westernize.
âu là	((từ-nghĩa cũ) would rather, undoubtedly, doubtless beyond all question, without question) one might as well (do something).
âu lo	() careworn.
âu mỹ	(dtừ) occident.
âu mỹ	(ttừ) occidental.
âu phục	() western clothes.
âu sầu	(ttừ) sad, melancholy, sorrowful, grieved.
âu tàu	() dry lock.
âu tây	() occidental.
âu tây	() western.
âu tây hóa	(ngđtừ) occidentalize.
âu trang	() western clothes.
âu yếm	(đtừ) to caress, to fondle, to pet.
ấm	() pot.
ấm	() kettle.
ấm	() warm.
ấm	() lukewarm.
ấm	() tepid.
ấm am ấm ớ	() inarticulate, incoherent.
ấm ách	(ttừ) ruffed up, windy, flatulent, rumble (stomatch).
ấm áp	() cosy.
ấm áp	() warm.
ấm áp	() mild.
ấm cật	(đtừ) to have the neccessities of life.
ấm chén	(dtừ) tea-set, tea-service, tea-things.
ấm chỗ	(ttừ) warm.
ấm chuyên	(dtừ) tea-pot.
ấm cúng	() nice and warm.
ấm cúng	() snug.
ấm cúng	() cosy.
ấm cúng	() harmonious.
ấm cúng	() united.
ấm đất	(dtừ) earthenware pot.
ấm đầu	() (about children) to have a temperature.
ấm đầu	() (slang) draft in the head.
ấm đồng	() copper kettle.
ấm đun nước	(dtừ) kettle.
ấm đun trà	(dtừ) samovar.
ấm giỏ	() cosy.
ấm giỏ	() tea-cosy.
ấm giỏ độn cỏ khô	(dtừ) hay-box.
ấm là lạnh	(ttừ) sour.
ấm lạnh	() warm and cold, how someone is doing.
ấm lên	(ngđtừ) chill, tepefy.
ấm lòng	() (làm cho ấm lòng) to warm the heart.
ấm nấu nước pha trà	(dtừ) tea-kettle.
ấm no	(ttừ) well off.
ấm no	(ttừ) comfortable.
ấm no	(ttừ) be in easy (good) circumstances.
ấm no	(ttừ) be well (comfortably) off, be well-to-do.
ấm no	(ttừ) well-to-do, prosperous welfare.
ấm no	(ttừ) well-being, prosperity.
ấm nước	(dtừ) water pot.
ấm oái	() cry.
ấm oái	() shout.
ấm oái	() như ấm oé.
ấm oé	() như ấm oái.
ấm ớ	(ttừ) half-baked, not to have a clear-cut attitude.
ấm ớ	(ttừ) perfunctory, haphazard.
ấm pha trà	(dtừ) teapot.
ấm sinh	() (a title for high ranking official's sons after having passed a certain examination) mandarin's son.
ấm sinh	() holder of hereditary rank.
ấm thiếc	(dtừ) tin-kettle.
ấm thụ	() hereditary rank in the public service.
ấm tích	(dtừ) china teapot, tea-pot.
ấm tôn	() grandson of a high ranking mandarin.
ấm trà	() teapot.
ấm tử	() son of a high-ranking mandarin.
ấm ứ	(đtừ) to hum and haw.
ấm ứ	(ttừ) stuttering.
ấm ức	(ttừ) full of pent-up anger, full of pent-up resentment, disatisfied, discontented, displeased.
ấm ức	(ttừ) offended (with).
ấm và lạnh	(ttừ) raw.
ấm xamôva	(dtừ) samovar.
ấn	(dtừ) seal, stamp.
ấn	(dtừ) india, indian.
ấn	(đtừ) to press.
ấn	(đtừ) to jam, to cram.
ấn	(đtừ) fob off.
ấn bản	() printed matter.
ấn bừa	(dtừ) intrusion.
ấn bừa	(ngđtừ) intrude.
ấn bừa	(ttừ) intrusive.
ấn cảo	() galley proof.
ấn chặt vào	(ngđtừ) ram.
ấn chỉ	(dtừ) printed matters.
ấn chỉ	(dtừ) printed paper.
ấn chương	() seal.
ấn chương học	(dtừ) sphragistics.
ấn cục	() printing office, printing establishment.
ấn định	() to fix.
ấn định	() to set.
ấn định	() to assign.
ấn định	() to lay down.
ấn định	() to define.
ấn định	() to prescribe.
ấn độ	() india.
ấn độ	() indian.
ấn độ	(ttừ) hindu.
ấn độ dương	() địa lý indian ocean.
ấn độ giáo	(dtừ) hinduism.
ấn hành	(đtừ) to print, print and publish.
ấn hành	(đtừ) appear.
ấn hành	(đtừ) come out, be published.
ấn học	() indianism.
ấn kiếm	(dtừ) seal and sword.
ấn loát	() to print.
ấn loát	() printing.
ấn loát phẩm	(dtừ) printed matter.
ấn mạnh	(ngđtừ) thrust, clap.
ấn mạnh xuống	(thngữ) to bear on (upon).
ấn ngữ	() (nhà ấn ngữ học) indic scholar.
ấn nhanh	(ngđtừ) clap.
ấn nhẹ	(đtừ) dab.
ấn phẩm	(dtừ) như ấn loát phẩm.
ấn phẩm	(dtừ) publication.
ấn phù	() talisman, charm, amulet.
ấn quán	(dtừ) printing-house, printing-works, press.
ấn quyết	(dtừ) exorcism (by a sorcerer).
ấn ra	(dtừ) extrusion.
ấn ra	(ngđtừ) extrude.
ấn ra	(ttừ) extrusive.
ấn sâu	(ngđtừ) dig.
ấn tích	(dtừ) the impression of a seal.
ấn tín	() royal seal.
ấn triện	() stamp, seal.
ấn tượng	() impression.
ấn tượng bất di bất dịch	(dtừ) stereotype.
ấn tượng chung	(dtừ) ensemble.
ấn tượng sai về cái gì	(ngđtừ) mislead.
ấn tượng sâu sắc	(dtừ) effectiveness, force, stereotype.
ấn tỷ	() signet.
ấn vào	(ngđtừ) imbed, embed.
ấn xuống	(dtừ) push down.
ấp	(dtừ) land holding (of vassal or nobleman).
ấp	(dtừ) small settlement at newly-reclaimed site.
ấp	(dtừ) hamlet, small village.
ấp	(đtừ) to hatch, to brood, to sit, to incubate, incubate.
ấp	(đtừ) to sit on (eggs).
ấp	(đtừ) to embrace, to hug.
ấp a ấp úng	() talk incoherently, indistintly, mumble.
ấp chiến đấu	() combat hamlet.
ấp chiến lược	() strategic hamlet (in south vietnam, under puppet regime).
ấp lạnh	() warm up when it is cold.
ấp tân sinh	(dtừ) new life hamlet.
ấp trại	(dtừ) location.
ấp trù mật	() agroville.
ấp trứng	() brood, incubate.
ấp úng	(đtừ) to hum and haw, to stammer, to mumble, to drawl.
ấp úng nói ra	(ngđtừ) falter.
ấp ủ	() to nurse.
ấp ủ	() to nurture.
ấp ủ	() to harbour.
ấp ủ	() to cherish.
ấp ủ	() to entertain.
ấp ủ hy vọng	(thngữ) to be rocked in hopes.
ấp ứ	() stammering.
ấp xóm	() village and hamlet.
ấp yêu	() regard, be fond of, love.
ất	(dtừ) the second heaven's stem, the second circle of heaven.
ấu	() caltrops.
ấu chúa	(dtừ) young king, an infant prince.
ấu chúa	(dtừ) child emperor.
ấu học	(dtừ) the upbringing of children.
ấu học	(dtừ) child education.
ấu nha	() gemmule.
ấu nhi	(dtừ) child.
ấu nhi	(dtừ) infant.
ấu niên	(dtừ) childhood, boyhood, girlhood.
ấu thơ	() như thơ ấu.
ấu thời	() childhood, infancy.
ấu trĩ	() childish.
ấu trĩ	() infantile.
ấu trĩ	() puerile.
ấu trĩ viên	() (cũ) kindergarten.
ấu trĩ viên	() xem nhà trẻ.
ấu trùng	() larva.
ấu trùng bọ cánh cứng	(dtừ) doodle-bug.
ấy	() that, those.
ấy	() like.
ấy	() (expression) astonished or unsatisfied.
ấy	(thán từ) surely, look here, mind you.
ấy chết	(khẩu ngữ) oh no!.
ấy chết	(khẩu ngữ) hey, be careful.
ấy là	() that is (to say).
ấy là	() ie.
ấy là	() to wit.
ấy là	() namely.
ấy là	() viz.
ấy là nói như vậy	(thngữ) so to speak.
ấy là nói như vậy	(thngữ) so to say.
ấy thế mà	(phó từ) notwithstanding.
ầm	() to boom, to bang.
ầm	() noisy, noisily, boisterous.
ầm ầm	() roaring, rumbling.
ầm ầm	() rumble.
ầm ầm	() roar.
ầm ầm	() thunder.
ầm ầm sấm động	(nđtừ) fulmine.
ầm ì	() drawling sound, buzz.
ầm ĩ	(ttừ) noisy, nosily, loud, boisterous, strident, uproarious.
ầm lên	(dtừ) clamourousness.
ầm ừ	(đtừ) nibble.
ầm ừ	(nđtừ) hum.
ẩm	(ttừ) wet, damp, humid, moist.
ẩm	(ttừ) như ẩm ướt.
ẩm	(ttừ) to drink.
ẩm	(dtừ) dampness.
ẩm	(dtừ) humidity, moisture.
ẩm chồi	() flat (about the market).
ẩm đồ	(dtừ) drunkard.
ẩm độ	(dtừ) humidity.
ẩm hận	(đtừ) to nurse a grudge against.
ẩm hoạ	() death from alcohol.
ẩm kế	(dtừ) hygrometer.
ẩm lệ	() hold back one's tears.
ẩm liệu	() drinks, beverages.
ẩm mốc	(nđtừ) fug.
ẩm mốc	(ttừ) fusty.
ẩm phước	() drink the wine after the sacrifice, toast.
ẩm sì	() humid, moist.
ẩm sì	() damp.
ẩm thấp	(ttừ) humid, low and damp, dank, marshridden.
ẩm thực	() eating and drinking.
ẩm trác	() drink and eat.
ẩm ướt	() như ẩm.
ẩm và dính	(ttừ) clammy.
ẩn	(đtừ) to thrust.
ẩn	(đtừ) to hide, conceal oneself.
ẩn	(đtừ) take shelter.
ẩn	(đtừ) to seclude oneself (from), retire (from).
ẩn	(ttừ) latent.
ẩn	(dtừ) như ẩn số.
ẩn bóng	() take shelter.
ẩn bóng	() be under someone's protection.
ẩn cư	(đtừ) to seclude oneself from the world, to live in solitude.
ẩn danh	() xem giấu tên.
ẩn dật	() to seclude oneself from society.
ẩn dật	() to lead a secluded life.
ẩn dụ	() metaphoric.
ẩn dụ	() metaphorical.
ẩn đặt	(ttừ) anchoretic.
ẩn độc tố	() cryptotoxin.
ẩn hiện	(dtừ) now appear, now disappear.
ẩn hiện	(dtừ) to loom.
ẩn hình	(đtừ) to conceal oneself.
ẩn hoa	() cryptogam.
ẩn khuất	() reserved, reticent, secretive, hidden.
ẩn lánh	(dtừ) như ẩn náu.
ẩn lậu	(đtừ) to hide, conceal.
ẩn lực	() latent force/energy.
ẩn mình	(thngữ) to dig oneself in.
ẩn náu	() to hide.
ẩn náu	() to shelter.
ẩn náu	() to lurk.
ẩn nặc	(đtừ) to receive stolen goods.
ẩn nấp	() to take cover/shelter.
ẩn nấp	() to hide.
ẩn nấp	() to shelter.
ẩn nấp	() to lurk.
ẩn ngữ	() jargon, slang.
ẩn ngữ	() cant.
ẩn ngữ	() pun.
ẩn ngữ	() riddle.
ẩn nhẫn	() suffer in patience.
ẩn nhiệt	() (med) latent heat.
ẩn núp	() xem ẩn nấp.
ẩn sỉ	(dtừ) retired scholar.
ẩn sĩ	() recluse.
ẩn sĩ	() hermit.
ẩn sĩ	() anchorite.
ẩn sĩ sống ở đỉnh cột	(dtừ) stylite.
ẩn số	() unknown.
ẩn số x	(dtừ) x.
ẩn số y	(dtừ) y.
ẩn số z	(dtừ) z.
ẩn tàng	(ttừ) implicit.
ẩn thân	(đtừ) to hide (oneself)(from).
ẩn thân	(đtừ) skulk, lie in hidding.
ẩn tinh	() (đá) aphanite.
ẩn tinh	() cryptocristalline.
ẩn tích	() live hidden.
ẩn tì	() hidden/latent defect.
ẩn tình	() secret feelings, secret intimate sentiment.
ẩn tình	() hidden feeling.
ẩn tình	() hidden matters.
ẩn trỏ	() live in hiding/in seclusion.
ẩn tuổi	() born under same zodiac sign.
ẩn tướng	() (từ-nghĩa cũ) hidden physiognomic features, concealed feature.
ẩn tỳ	() latent fault, latent defect, latent vice.
ẩn ưu	() secret sorrow.
ẩn vi	() obscure, abstruse.
ẩn xạ	() unobserved fire, blind fire.
ẩn ý	(dtừ) implication, hint, hidden, intention.
ẩn ý với	(nđtừ) assort.
ẩu	() careless.
ẩu	() slipshod.
ẩu	() random.
ẩu	() rash.
ẩu đả	() to come to blows.
ẩu đả	() to exchange blows.
ẩu tả	() vomit and have diarrhoea.
ẩu tả	() madcap.
ẩu thổ	() vomit.
ẩu thổ	() vomitting.
ẩy	(đtừ) to thrust, push, shove.
ẩy ngã	() upset or overthrow.
ẩy ra	(dtừ) extrusion.
ẩy ra	(ngđtừ) extrude.
ẩy ra	(ttừ) extrusive.
ẫm ờ	() grunt.
ậc	() onomatopoeia.
ậc	() to gurgle.
ậm à	() như ầm ừ.
ậm à ậm ạch	() xem ậm ạch.
ậm à ậm ừ	() xem ậm ừ.
ậm ạch	(ttừ) labouring, ploughing, plodding.
ậm ạch	(ttừ) heavy.
ậm ạch	(ttừ) difficult.
ậm ạch	(ttừ) prod along, lumber.
ậm oẹ	(ttừ) menacing, threatening.
ậm oẹ	(ttừ) menacingly, threateningly.
ậm ờ	() như ầm ừ.
ậm ừ	(đtừ) to hum and haw, to hum and ha, to hem and haw.
ập	(đtừ) to rush in.
ập	(đtừ) to rush down, to burst into, break (in, into), intrude (into).
ập	(phó từ) with a bang, with a crash, tumultuously.
