pa-tê	(dtừ) terrine.
phô	() show off, display.
phô bày	() xem phô.
phô bày	() display, exhibit, show.
phô bày đùi vế	(ttừ) leggy.
phô bày ra	(ttừ) naked.
phô bày ra rành rành	(ttừ) bald.
phô diễn	() express, depict, picture, portray.
phô một bên mạn tàu ra	(thngữ) broadside on (to).
phô phang	() boast, vaunt, praise oneself, show off, flash about.
phô ra	(dtừ) exposition, presentation.
phô ra	(ngđtừ) expose.
phô ra	(thngữ) to hold up.
phô ra	(ttừ) presentability, presentable.
phô tài	() show off one's ability.
phô trương	() to display.
phô trương	() to show off.
phô trương	() to flaunt.
phô trương ầm ĩ	(dtừ) fanfare.
phô trương long trọng	(dtừ) pomp.
phô trương long trọng	(ttừ) pompous.
phô trương lòe loẹt	(dtừ) fanfare.
phô trương lòng mộ đạo	(dtừ) sanctimoniousness.
phô trương lòng tin đạo	(dtừ) sanctimoniousness.
phô trương lòng tin đạo	(ttừ) sanctimonious.
phô trương lực lượng	(dtừ) big stick.
phô trương rầm rộ	(dtừ) splurge.
phô trương sang trọng	(đại từ) state.
phô trương sự mộ đạo	(ttừ) sanctimonious.
phô trương thành tích	() to display one's accomplishments.
phô trương thành tích	() to show off one's accomplishments.
phôi	() embryo, germ, foetus.
phôi	() (kỹ thuật) rough draft.
phôi	() fade, lose colour.
phôi bào ngoại bì	() ectomere.
phôi cấu	() blastula.
phôi học	(dtừ) embryology.
phôi kỳ	() embryonic stage.
phôi nang	() blastula, germinal vesticle.
phôi nha	() embryo.
phôi nhũ	(dtừ) albumen.
phôi pha	(đtừ) to wilt, to wither, to fade, to droop, to loose freshness.
phôi pha	(đtừ) wear and tear.
phôi sinh học	() embryology.
phôi tâm	(dtừ) nucellus.
phôi thai	() embryo.
phôi thai	() embryonic.
phôi thai	() budding.
phôi thai học	() embryology.
phôm phốp	() buxom, plump (nói về đàn bà).
phôm phốp	() podgy, plump, wellfed, fattened.
phôn	() xem điện thoại.
phông	() background.
phông	() fount.
phông	() font.
phông chữ	() (tin học) fount.
phông chữ	() font.
phông làm giả bờ biển	(dtừ) sea-cloth.
phông màn quần áo	(dtừ) setting.
phông màn sân khấu lưu động	(dtừ) fit-up.
phông tên	() fountain.
phố	() street.
phố	() (từ cũ) house.
phố	() apartment.
phố báo chí	(dtừ) fleet street.
phố biển	() seaside town.
phố cấm	() closed street.
phố chính	() main street.
phố chính	() high street.
phố chợ	(dtừ) market-town.
phố cụt	(dtừ) cul-de-sac, court.
phố grúp	(dtừ) grub-street.
phố hẻm	(dtừ) alley.
phố hẻo lánh	(dtừ) bystreet.
phố khách	() chinatown.
phố lẻ	(dtừ) bystreet.
phố ở luân-đôn	(dtừ) downing street.
phố phụ	() side street.
phố phường	() street and district.
phố phường	() streets.
phố trên	(ttừ) uptown.
phố trệt	() one - storied rowhouse.
phố xá	() streets.
phốc	() strong, forceful.
phốc	() give a kick at (đá phốc).
phốc xép	() forceps.
phối	() correspond (to with), conform (to), put together.
phối âm	() dubbed or recorded music.
phối cảnh	() perspective.
phối cảnh	() décor.
phối dàn nhạc	(dtừ) instrumentation, orchestration.
phối dàn nhạc	(ngđtừ) orchestrate, instrument.
phối giống	(dtừ) service.
phối hình	() perpective.
phối hòa âm	(dtừ) harmonization.
phối hợp	() to co-ordinate.
phối hợp	() to combine.
phối hợp các mặt	() coordinate all aspects.
phối hợp các nốt nghe chối tai	(dtừ) dissonance.
phối hợp chặt chẽ	() coordinate closely.
phối hợp chặt chẽ với nhau	(đtừ) interlock.
phối hợp chặt chẽ với nhau	(thngữ) to join hands.
phối hợp chiến trường	() coordinate operations.
phối hợp công tác	() coordinate the work.
phối hợp đấu tranh	() coordinate the struggle.
phối hợp giám sát	() coordinated observation.
phối hợp hai tính	(dtừ) amphimixis.
phối hợp hài hòa	(dtừ) repose.
phối hợp hành động chung	(dtừ) cartel.
phối hợp hoả lực	() fire coordination.
phối hợp lực lượng	() coordinate forces.
phối hợp màu sáng tối	(dtừ) chiaroscuro.
phối hợp thời gian	(dtừ) timing.
phối hợp về mặt ngữ pháp	(ngđtừ) construe.
phối khí	() instrument.
phối màu	() tone values.
phối màu sắc	(dtừ) value.
phối ngẫu	() spouse.
phối nhạc	() instrument.
phối sắc	() colour blending.
phối thuộc	() be attached, subordinated.
phối tinh	() to breed.
phối trí	() (ít dùng) arrange.
phối trí	() coordinate.
phối tử	() gamette.
phối xạ tuyến	() fire coordination line.
phốp	() spotlessly, immaculately.
phốp	() fleshy, chubby.
phốp	() very white (trắng phốp).
phốp pháp	() plump, stout, buxom, rotund.
phốt phát	() phosphate.
phốt pho	() phosphorus.
phồ	(dtừ) scythe.
phồm phàm	() như nhồm nhoàm.
phồn hoa	() noisy and gaudy.
phồn hoa	() splendour, magnificence.
phồn tạp	() complicated.
phồn thể	() traditional.
phồn thịnh	() thriving.
phồn thịnh	() prosperous.
phồn thịnh	() flourishing.
phồn vinh	() flourishing.
phồn vinh	() prosperous.
phồn vinh	() thriving.
phồng	(dtừ) cũng như phùng.
phồng	(dtừ) bloat, swell out, inflate, puff out, fill out, belly out.
phồng căng	(nđtừ) fill.
phồng da	() blister.
phồng hơi	() air inflation.
phồng kết mạc	() chemosis.
phồng lên	() inflation.
phồng quá	(ttừ) overswollen.
phồng ra	(dtừ) expanse, expansibility, swelling, expansiveness, expansion, baggieness.
phồng ra	(đtừ) expand.
phồng ra	(ngđtừ) plim.
phồng ra	(nđtừ) plim, balloon, bilge.
phồng ra	(ttừ) baggy, expansible, bulging, expansile, bulbous, expansive, flown, puffy, bulgy.
phồng ra thành túi	(ttừ) saccate.
phồng tôm	() (bánh) shrimp-chips.
phồng tôm	() prawn crackers.
phổ	() (vật lý) spectrum.
phổ	() set song to music, set (poem) to music.
phổ biến	() to diffuse.
phổ biến	() to propagate.
phổ biến	() to popularize.
phổ biến	() to disseminate.
phổ biến	() popular.
phổ biến	() general.
phổ biến	() universal.
phổ biến	() common.
phổ biến	() widespread.
phổ biến hạn chế	() restricted/limited distribution.
phổ biến khắp	(dtừ) prevalence.
phổ biến khắp	(nđtừ) prevail.
phổ biến khắp	(ttừ) prevailing.
phổ biến lại	() redisseminate.
phổ biến lệnh	() dissemination of orders.
phổ biến một bài hát	(dtừ) song-plugging.
phổ biến nghị quyết	() disseminate the resolution.
phổ biến rộng rãi	() dissemination widely.
phổ biến rộng rãi	() dissemination of intelligence.
phổ cập	() generalize, universalize, make widesread.
phổ cập	() make compulsory to everyone.
phổ cập	() popularize, popular.
phổ dụng	() commonly used, common.
phổ độ	() (buddhism) come to the aid of all people.
phổ độ	() perform universal salvation.
phổ hệ	() genealogy.
phổ hệ học	() genealogy.
phổ học	(dtừ) spectroscopy.
phổ học rađiô	(dtừ) radiospectroscopy.
phổ kế	() (vật lý) spectrometer.
phổ lời	() to write words for music.
phổ nhạc	() to set to music.
phổ niệm	() universal concept.
phổ quát	() (ít dùng) spectrometer.
phổ quát	() general.
phổ thành opêra	(ngđtừ) operatise.
phổ thông	() common.
phổ thông	() general.
phổ thông	() universal.
phổ thông	() popular.
phổ thông đầu phiếu	() universal suffrage.
phổ thông hóa	(ngđtừ) vernacularize.
phổ trương rầm rộ	(nđtừ) splurge.
phổi	() lung.
phổi	() pulmonary.
phổi bò	() (thông tục) to wear one's heart upon one's sleeve.
phổi nhân tạo	() artificial lung.
phổi nhân tạo	() lung motor.
phổi súc vật	(dtừ) lights.
phổng	() be blown/puffed up, swell.
phổng phao	() put(ting) on flesh.
phổng phao	() grow fat.
phổng phao	() develop (of body).
phỗng	() clay statue of giant guard.
phỗng	() toy earthen statue.
phỗng	() (thông tục) steal a march on somebody and get what is his due, steal someone's thunder.
phỗng	() take away.
phỗng	() abduct.
phỗng	() (term in card playing) two cards of the same kind.
phỗng đá	() dumb person, dumbbell.
phỗng mất quyền lợi	(thngữ) to take the wind out of someone's sails.
phỗng tay trên	() beat somebody to it.
phỗng tay trên ai	(thngữ) to cut the grass under somebody's feet.
phơ	() (of hair) hoary, snowy, snowwhite.
phơ	() cũng như phơ phơ (láy).
phơ phất	() move, swing, sway.
phơ phơ	() xem phơ (láy).
phơi	() to air.
phơi	() to dry.
phơi	() to bare.
phơi	() to show.
phơi	() to expose.
phơi áo	() đùa cợt.
phơi áo	() bị phơi áo) to be put out to grass.
phơi áo	() to be given early retirement.
phơi áo	() to get the sack.
phơi bày	() to lay bare.
phơi bày	() to expose.
phơi bày	() to reveal.
phơi bày khiếm nhã	(dtừ) flash.
phơi bày ra	(dtừ) open book.
phơi bày ra	(ngđtừ) expose.
phơi bày ra	(thngữ) to open out.
phơi cho nhỏ giọt mà khô	(dtừ) drip-dry.
phơi đồ	() xem phơi quần áo.
phơi gió	() to expose something to the air.
phơi khô	() dry (up), dry (out).
phơi khô mà không là	(ngđtừ) rough-dry.
phơi khô ngoài nắng	(ttừ) sun-dried.
phơi mặt	() appear, show one's face.
phơi nắng	() to expose something to the sun.
phơi nắng	() to expose oneself to the sun.
phơi nắng	() to stay out in the sun.
phơi nắng không phai	(ttừ) sunfast, sunproof.
phơi phóng	() như phơi (nói khái quát).
phơi phới	(dtừ) slightly excited, softly stimulated.
phơi phới	(dtừ) elevated, clated, be elated.
phơi quá lâu	(dtừ) overexposure.
phơi quá lâu	(ngđtừ) overexpose.
phơi quần áo	() to hang the washing.
phơi ra	(ngđtừ) expose.
phơi sang	(ngđtừ) expose.
phơi sương	(ngđtừ) dew-ret.
phơi thây	() leave one's mortal remains somewhere.
phơi thóc	() to sun - dry paddy.
phơi trần	() lay bare, disclose, unmask.
phơn phớt	() xem phớt (láy).
phơn phớt	() (of colour) somewhat.
phơn phớt	() slightly.
phơn phớt	() gently.
phơn phớt	() pale.
phới	() leave quickly (a place).
phới	() (slang) go away.
phớn phở	() merry, gay, lively, jolly, cuphoric.
phớt	() felt.
phớt	() pale.
phớt	() light.
phớt	() to ignore.
phớt	() to turn a deaf ear/a blind eye.
phớt	() to graze.
phớt	() to glance over.
phớt đi	(ngđtừ) ignore.
phớt đời	() to turn a completely blind eye to life.
phớt đời	() to show indifference to life.
phớt hồng	() pinkish.
phớt lạnh	(dtừ) stolidity, dryness.
phớt lạnh	(phó từ) drily, dryly.
phớt lạnh	(ttừ) dry, cold, cold-blooded, stolid.
phớt lờ	() to defy.
phớt lờ	() to ignore.
phớt lờ	() to bypass.
phớt lờ	() to turn a deaf ear/a blind eye.
phớt lờ	() to close one's eyes to something.
phớt lờ	() to shut one's ears to something.
phớt lờ	() to brush somebody off.
phớt lờ đi	(ttừ) ignorable.
phớt qua	(thngữ) to brush aside.
phớt tỉnh	() phlegmatic.
phớt tỉnh	() emotionless.
phờ	() haggard, tired.
phờ người	() exhausted, worn-out.
phờ người	() haggard.
phờ phạc	() seedy.
phờ râu	() như phờ (nghĩa mạnh hơn).
phở	(dtừ) noodle soup, noodles served with beef, chicken, etc.
phở áp chảo	() sauté beef noodle soup.
phở áp chảo	() fried beef and noodles.
phở bò	() noodle soup with beef.
phở chín	() beef noodle soup.
phở gà	() noodle soup with chicken.
phở lợn	() noodle soup with pork.
phở tái	() underdone beef noodle soup.
phở tái	() noodle soup with rare beef.
phở tíu	() noodle soup with bean - sprout.
phở tíu	() noodle soup with duck.
phở xào	() browned beef noodle, fried noodles.
phở xốt vang	() noodle soup with beef wine sauce.
phởn	() xem phởn phơ.
phởn	() (thông tục) be beside oneself with joy, bubble over with joy.
phởn	() (colloq) brighten (with), light up (with), beam (with).
phởn phơ	() cũng như phởn.
phởn phơ	() bubble over with satisfaction.
phởn phơ	() euphoria.
phu	(dtừ) coolie, labourer.
phu	(dtừ) husband.
phu bốc vác	(dtừ) porter.
phu bốc vác	(dtừ) stevedore.
phu cao su	() rubber plantation coolie.
phu cáng	() litter bearer, stretcher bearer.
phu diễn	() develop.
phu dịch	() coolie, labourer.
phu đồn điền	() plantation coolie.
phu đường	() road mender, road repairman.
phu hồ	() mason coolie.
phu khuân vác	() xem người khuân vác.
phu lục lộ	() road mender.
phu mỏ	(dtừ) miner.
phu nhân	() wife.
phu nhân	() lady.
phu phen	() coolies, corvee-bound labourers.
phu phen	() porter, carrier, unskilled workman/worker.
phu phụ	() husband and wife.
phu phụ	() man and wife.
phu quân	() (từ cũ) my lord, my husband, (playfully) lord and master.
phu quét đường	() road cleaner.
phu rác	() garbage collector.
phu thê	(dtừ) husband and wife.
phu thê	(dtừ) matrimony.
phu thê	(dtừ) conjugality.
phu thê	(dtừ) matrimonial.
phu thê	(dtừ) conjugal.
phu trạm	() (từ cũ) postman.
phu tử	() (từ cũ) master, teacher, tutor, mentor, preceptor.
phu xe	((từ cũ) rickshaw driver) rickshaw puller.
phu xướng phụ tuỳ	() harmony between husband and wife.
phun	(dtừ) eject.
phun	(dtừ) belch.
phun	(dtừ) vomit.
phun	(dtừ) gush.
phun	(dtừ) (of volcano) erupt.
phun	(dtừ) spit.
phun	(dtừ) (of snake) hiss.
phun	(dtừ) (off whale) blow.
phun bụi nước	(ngđtừ) pulverize.
phun khói	(dtừ) fumigation.
phun khói	(ngđtừ) fumigate.
phun luồng cát	(ngđtừ) sand-blast.
phun lửa	() to breathe fire.
phun ngược trở lại	(dtừ) regurgitation.
phun ngược trở lại	(đtừ) regurgitate.
phun nước	(nđtừ) spout.
phun phì phì	(dtừ) spit.
phun ra	() vomit out.
phun ra thành tia	(đtừ) jet.
phun thành bột	(ttừ) pulverizable.
phun thành bụi	(dtừ) pulverization.
phun thành bụi	(ttừ) pulverizable.
phun thuốc	() spray chemicals.
phun trào	() địa lý eruptive, effusion, extrusion.
phun trào do núi lửa phun ra	(ttừ) eruptional.
phun vào	(nđtừ) play.
phun vữa	(đtừ) gunite.
phun xi măng	(đtừ) gunite.
phung	() (dialect) leprosy (phong).
phung phá	() xem phung phí.
phung phá	() spend extravagantly, squander, throw (money) about.
phung phí	() to waste.
phung phí	() to misspend.
phung phí	() to squander.
phung phí	() to dissipate.
phung phí	() to dilapidate.
phung phí	() to lavish.
phung phí	() to fritter away.
phung phí	() extravagant.
phung phí	() wasteful.
phung phí	() prodigal.
phung phí một cách ngu xuẩn	(ngđtừ) dissipate.
phung phúng	() puffed (up) cheeks.
phuy	() barrel, drum.
phuy xăng	() gasoline drum.
phú	() dissertation in rythmic prose.
phú	() poetic essay.
phú	() xem phú cho.
phú bẩm	() innate, inborn native.
phú cho	() to endow.
phú cường	((từ cũ) prosperous and poweful) (of nation) prosperous and powerful.
phú de	() ('fourrière' in french) pound.
phú gia	() (từ cũ) rich (wealthy) family.
phú hào	((từ cũ) local influential rich man) the wealthy.
phú hậu	() rich.
phú hậu	() wealth.
phú lục	() (từ cũ) rhymed prose.
phú nông	() rich farmer.
phú nông	() prosperous peasant.
phú nông	() kulak.
phú ông	() (từ cũ) rich man.
phú quí	(đtừ) rich and noble.
phú quý	() riches and honours.
phú quý đa nhân hội	() phu quy da nhan hoi ban cung than thich ly,poverty parts friends.
phú quý sinh lễ nghĩa	() honours change manners.
phú thương	() rich merchant.
phú tính	() giftid, talented.
phú tính đàn bà cho	(dtừ) feminization.
phú tính đàn bà cho	(ngđtừ) feminise.
phúc	() blessing.
phúc	() good luck.
phúc	() good fortune.
phúc án	((luật, từ cũ) review a sentence) appeal (a case).
phúc âm	() gospel.
phúc ấm	() blessing handed down by ancestors.
phúc ấm	() beatitude inherited from one's forefathers.
phúc bạc	() bad luck.
phúc bạc	() unhappy.
phúc bạc	() unfortunate.
phúc bạc	() unlucky.
phúc bất trùng lai họa vô đơn chí	(thngữ) it never rains but it pours.
phúc bẩm	() answer, reply.
phúc bồn tử	() ribes, raspberry.
phúc cáo	() appeal against a sentence.
phúc chiếu	() rescript.
phúc đáp	() to reply.
phúc đáp	() to answer.
phúc địa	() land of happiness.
phúc đức	(ttừ) blessing.
phúc đức	(ttừ) happiness and virtue.
phúc đức	(ttừ) happy and virtuous.
phúc đức	(ttừ) virtous.
phúc hạch	() second examination.
phúc hậu	() kind-hearted, gentle and upright, benevolent, virtuous.
phúc hoạ	() happiness and unhappiness.
phúc khảo	() xem phúc hạch.
phúc khảo	() (từ cũ) check examination papers.
phúc khảo	() reexamine.
phúc kiến	() fukien or fujian, a province of se china.
phúc lành	() blessing.
phúc lành	() benediction.
phúc lộc	() happiness and wealth.
phúc lộc	() happiness and prosperity.
phúc lộc thọ	() happiness, wealth and longevity.
phúc lớn	() beatitude.
phúc lớn	() felicity.
phúc lợi	() welfare.
phúc lợi phụ	(dtừ) fringe-benefit.
phúc mạc	() xem màng bụng.
phúc mô	() diaphragm.
phúc nghị	() ruling by an upper court.
phúc nghị	() counter-proposition.
phúc phận	() share of happiness one was blessed with.
phúc phận	() happy fate/destiny.
phúc thần	() good genius (ác thần - evil genius).
phúc thẩm	() to hear an appeal.
phúc thẩm	() to rehear a trial.
phúc thẩm	() to reconsider.
phúc thẩm	() to review.
phúc tinh	() (từ cũ) saviour.
phúc tra	() verify, check (facts, figures...).
phúc trạch	() như phúc ấm.
phúc trình	() xem báo cáo.
phúc trời ban cho	(dtừ) visitation.
phún nham	() lava.
phún thạch	() địa lý eruptive rocks.
phún thạch	() lava.
phún tuyền	() geyser.
phún xạ	() jet.
phún xạ cơ	() jet airplane.
phún xuất	() (dung nham) extravasate.
phúng	() cũng như phúng viếng.
phúng	() (từ cũ) bring offerings to a deceased person.
phúng dụ	() allegory.
phúng điếu	() present one's condolences to somebody.
phúng phính	() chubby.
phúng phính	() plump ckeeks.
phúng viếng	() (từ cũ) như phúng.
phút	() minute.
phút	(ttừ) ng phút đấy, nhanh lên!hurry up, every minute counts!.
phút chốc	() in a very short moment.
phút chốc	() in an instant.
phút chốc	() in a jiffy.
phút cuối	() last-minute.
phút đâu	() suddenly, all of a sudden.
phút đầu	() in next to no time, all of a sudden.
phút giây	() (ít dùng) như giây phút.
phù	() như phò.
phù	() xem phù phép.
phù	() (thổi phù) to puff out.
phù	() xem bệnh phù.
phù	() to swell.
phù bạc	() fickle, unstable.
phù biểu	() arcometer.
phù chú	() exorcise with incantations and a charm.
phù chú	() amulet and incantation.
phù danh	() vain glory.
phù danh	() vanity of vanities.
phù dâu	() matron of honour.
phù dâu	() bridesmaid.
phù du	() ephemera (con phù du).
phù du	() fugitive.
phù du	() ephemerous.
phù du	() short-lived.
phù du mồi câu	(dtừ) drake.
phù dung	() changing hibiscus, cotton rose hibiscus beautiful woman.
phù dung	() (cũ.
phù dung	() văn chương) fair, fair maid, fair lady.
phù dưỡng	() maintain, sustain.
phù điêu	() relief, relievo.
phù điêu	() embossment (phù điêu phật đản sanh - chùa linh sơn).
phù động	() floating, moving.
phù động	() non - status and paid by the day (làm phù động).
phù giác	(dtừ) depression.
phù giúp	() help, support.
phù hiệu	(dtừ) badge.
phù hiệu	(dtừ) insignia.
phù hiệu cá nhân	(dtừ) identity disk.
phù hiệu cổ áo	(dtừ) tab.
phù hiệu đeo ở mũ	(dtừ) cockade.
phù hiệu người hề	(dtừ) bauble.
phù hiệu phi công	(dtừ) wing.
phù hiệu vai	(dtừ) shoulder-mark.
phù hoa	() gaudy, show, pompous.
phù hoa	() vanity, vainglory, conceit.
phù hoa	() vain, vainglorious, conceited.
phù hộ	() to support.
phù hộ cho	(ngđtừ) send.
phù hộ của thượng đế	(dtừ) providence.
phù hộ của trời	(dtừ) providence.
phù hộ độ trì	() (of god) protect and help.
phù hợp	() to agree.
phù hợp	() to tally.
phù hợp	() to accord.
phù hợp	() according to....
phù hợp	() in accordance/conformity with....
phù hợp	() corresponding.
phù hợp	() suitable.
phù hợp	() appropriate.
phù hợp	() conformable.
phù hợp cho công việc	(ttừ) effective.
phù hợp với	(gtừ) by.
phù hợp với	(ngđtừ) conform.
phù hợp với	(nđtừ) agree.
phù hợp với	(ttừ) correspondent, concordant, conformable.
phù hợp với đạo hồi	(dtừ) islamization.
phù hợp với đạo hồi	(ngđtừ) islamise.
phù hợp với đặc tính của một ngôn ngữ	(ttừ) idiomatic.
phù hợp với kinh thánh	(ttừ) scriptural.
phù hợp với người vợ	(ttừ) wifelike.
phù hợp với nhau	(thngữ) to jump together.
phù hợp với nhau	(thngữ) to jump with.
phù hợp với quyền lợi của	(ngđtừ) suit.
phù kế	() (vật lý) areometer, acrometer.
phù kiều	() floating bridge, pontoon.
phù lên	(đtừ) bloat.
phù lên	(ttừ) tumid.
phù lưu	() floating.
phù nề	() be puffed with oedema.
phù nguy	() assist in disaster.
phù niêm	(dtừ) myxedema.
phù phép	(dtừ) magic.
phù phép	(dtừ) incantation.
phù phép	(dtừ) spell.
phù phiếm	(ttừ) flighty, superficial, frivolous.
phù phiếm	(ttừ) uncertain, unpractical, useless.
phù phù	() xem phù (láy).
phù phù	() blow hard, blow out.
phù rể	() best man.
phù rể	() groomsman.
phù rễ	(dtừ) bestman.
phù sa	() alluvium.
phù sa	() silt.
phù sa	() illuvium.
phù sinh	() cũng nói phù thế.
phù sinh	() floating life.
phù sũng	() beri-beri, swelling of limbs.
phù tang	() lead the cortege.
phù tá	() cũng như phù trợ.
phù tá	() (từ cũ) support and assit, help.
phù tạng	() viscus.
phù thế	() như phù sinh.
phù thịnh	() to hail/adore the rising sun.
phù thịnh	() (bạn phù thịnh) fair-weather friend.
phù thuỷ	() sorcerer.
phù thuỷ	() magician, wizard.
phù thủy lang băm	(dtừ) witch-doctor.
phù thũng	() (y học) oedema.
phù toàn thân	(ttừ) anasarcous.
phù trầm	() full of ups and downs, full of vicissitudes.
phù trầm	() float and sink.
phù trầm	() (fig) ups and downs of life.
phù trì	() (từ cũ) assist and preserve, guard protect.
phù trợ	() xem phù tá.
phù vân	() drifting (floating) cloud.
phù vân	() ephemeral, transient thing.
phù voi	() (y học) elephantiasis.
phùn	() drizzle.
phùn phụt	() spout, jet.
phùng	() xem phồng.
phùng	() swell, bloat, bag.
phùng lên	(ngđtừ) puff.
phùng lên	(nđtừ) puff.
phùng ra	(ttừ) puffy.
phủ	(dtừ) cover (with).
phủ	(dtừ) overlay (with).
phủ	(dtừ) pain (with).
phủ	(dtừ) coat (with).
phủ	(dtừ) (of animals) cover, couple, mate (with), pair (with), coupling, pairing, mating.
phủ	(dtừ) palace.
phủ	(dtừ) residence.
phủ	(dtừ) office.
phủ	(dtừ) prefect, district.
phủ bạc	(ttừ) silvery.
phủ băng	(ngđtừ) glaciate.
phủ băng	(ttừ) iced, icy.
phủ bọt	(ttừ) foamy.
phủ bồ hóng	(ngđtừ) soot.
phủ bổi	(ngđtừ) mulch.
phủ bụi	(ttừ) pulverulent.
phủ chính	() (từ cũ) revise, correct, amend, rectify/correct mistakes.
phủ doãn	() (arch) governor.
phủ doãn	() governer of the province where the capital was located.
phủ dụ	((từ cũ) snoothe, placate) exhort, admonish, remonstrate (with).
phủ đá	(ttừ) stony.
phủ đá́sỏi	(ttừ) pebbly.
phủ đá cuội	(ttừ) pebbly.
phủ đầu	(ttừ) preventive, premonitory.
phủ đầu	(ttừ) scold, beat etc at the beginning (in order to show one's authority).
phủ đầy	(ngđtừ) slime, overspread.
phủ đầy băng	(thngữ) to freeze over.
phủ đầy bột	(dtừ) mealiness.
phủ đầy bột	(ttừ) mealy, floury.
phủ đầy bùn	(ngđtừ) slime.
phủ đầy bùn	(ttừ) slimy.
phủ đầy cây thạch nam	(ttừ) heathy, heathery.
phủ đầy cỏ xanh	(ttừ) verdant.
phủ đầy đất	(thngữ) to cover in.
phủ đầy giọt	(ttừ) beady.
phủ đầy hoa hồng	(ttừ) rosy.
phủ đầy hoa huệ tây	(ttừ) lilied.
phủ đầy lông tơ	(ttừ) downy.
phủ đầy rêu	(ttừ) mossy, moss-grown.
phủ đầy sương giá	(ttừ) frosty.
phủ đầy sương muối	(ngđtừ) rime.
phủ đầy tuyết	(dtừ) snowiness.
phủ đệ	() palace (of princes).
phủ đi	(ngđtừ) bury.
phủ địa y lên	(ngđtừ) lichenize.
phủ định	() deny, disclaim.
phủ định	() negative.
phủ định sạch sẽ	(ttừ) savoury.
phủ đường	() prefect.
phủ khăn choàng	(ngđtừ) mantle.
phủ khắp	(ngđtừ) overspread.
phủ kín	(ngđtừ) overcrust, overfilm, enshroud, smother, overcover.
phủ kín	(thngữ) to cover in.
phủ lên	(thngữ) to lay on, to lay over.
phủ lên	(ttừ) clad.
phủ lên mặt ngoài	(dtừ) facing.
phủ lên trên	(ngđtừ) surmount.
phủ lông tơ	(ttừ) fluffy, arachnoid.
phủ mây	(ngđtừ) overcast, overcloud, encloud.
phủ mây	(ttừ) cloud-capped.
phủ men	(ngđtừ) enamel.
phủ một lớp màng	(ngđtừ) film.
phủ một lớp vỏ ngoài	(ngđtừ) encrust.
phủ một lượt đường cô	(ttừ) iced.
phủ mờ	(ngđtừ) haze.
phủ muội	(ngđtừ) soot.
phủ nhận	() to deny.
phủ nhận	() to negate.
phủ nhận	() to disclaim.
phủ nhận sự thật của	(ngđtừ) controvert.
phủ nhọ nồi	(ngđtừ) soot.
phủ phục	() to prostrate oneself.
phủ phục	() to kiss the ground.
phủ quyết	() to veto.
phủ quyết	() to vote against something.
phủ quyết ngầm	(dtừ) pocket veto.
phủ sương	(dtừ) dewiness.
phủ sương giá	(ngđtừ) frost.
phủ sương mù	(ngđtừ) fog, befog.
phủ sương mù	(nđtừ) fog.
phủ tạng	() viscera.
phủ tạng	() system.
phủ tấm che lên	(ngđtừ) caparison.
phủ thêm một lớp sơn	(ngđtừ) overcoat.
phủ thống sứ	(dtừ) residency.
phủ thủ tướng	(dtừ) chancellery.
phủ thừa	((từ cũ) chief of the district where the capital was located) vice governor.
phủ tổng thống	() the presidency.
phủ tuyết	(ttừ) snowy.
phủ tuyết kín	(thngữ) to snow under.
phủ việt	() (sử học) axe and big hammer.
phủ việt	() corporeal punishment implement.
phủ vỏ sò	(đtừ) shell.
phủi	() flick off.
phủi	() dust, brush off.
phủi bằng bàn chải	(thngữ) to brush over.
phủi bụi	(dtừ) dusting.
phủi đi	(thngữ) to brush away.
phủi ơn	() disregard the favour (done by somebody).
phủi ơn	() ungrateful.
phủi sạch đi	(thngữ) to brush off.
phủi tay	() to wash one's hands of something.
phũ	(ttừ) coarse, violent, rough, brutish.
phũ phàng	(ttừ) ruthless, harsh.
phũ phàng	(ttừ) fierce, ferocious, truculent, violent.
phụ	() auxiliary.
phụ	() secondary.
phụ	() to aid.
phụ	() to help.
phụ	() to assist.
phụ	() to give/lend a helping hand.
phụ	() to behave badly towards somebody.
phụ	() not to meet somebody's expectations.
phụ âm	() consonant.
phụ âm kêu	(dtừ) sonant.
phụ âm răng	() dental.
phụ âm rung	(dtừ) trill.
phụ âm tắc	(dtừ) stop.
phụ âm xát	(dtừ) fricative, continuant.
phụ âm xát hẹp	(dtừ) spirant.
phụ ân	() ungrateful, thankless.
phụ bản	() supplement.
phụ bản	() copy.
phụ bạc	(dtừ) ungrateful, thankless, betray somebody's trust.
phụ bậc	() help, aid, assist.
phụ bếp	() cook helper.
phụ biên tập	(ngđtừ) sub.
phụ biên tập	(nđtừ) sub.
phụ cấp	() allowance.
phụ cấp	() subsidy.
phụ cấp	() benefit.
phụ cấp chiến đấu	() field-allowance.
phụ cấp chiến trường	(dtừ) field-allowance.
phụ cấp chức vụ	() function allowance.
phụ cấp đi đường	(dtừ) mileage.
phụ cấp đi lại	() mileage allowance.
phụ cấp đi lại	() travel allowance.
phụ cấp gia đình	(dtừ) family allowance.
phụ cấp hàng ngày	() per diem allowance.
phụ cấp ngoài	(dtừ) fringe-benefit.
phụ cấp thâm niên	() long service award.
phụ cấp thâm niên	() seniority allowance.
phụ cấp thất nghiệp	() unemployment benefit.
phụ cấp thất nghiệp	() dole.
phụ cấp tiếp khách	() entertainment allowance.
phụ cấp trời lạnh	(dtừ) mitten money.
phụ cận	() surrounding, adjacent, contiguous (to), adjoining.
phụ chánh	() regent.
