ha	() exclamation of joy.
hồng đồ	() big programme, big scheme, big plan.
hồng đơn	() red lead.
hồng hào	() ruddy.
hồng hào đỏ ửng	(ttừ) glowing.
hồng hải	() địa lý xem biển đỏ.
hồng hạc	() flamingo.
hồng hoa	() (bot) safflower.
hồng hoa	() (food) blood pudding.
hồng hoang	() wild rose.
hồng hoang	() rosa canina.
hồng hoang	() primitive age.
hồng hoang	() state of universe before creation.
hồng hoàng	() great hornbill.
hồng hồng	() xem hồng (láy).
hồng hộc	() throbbing wildly.
hồng huyết cầu	() xem hồng cầu.
hồng hỷ	() great joy.
hồng khô	() dried and pressed persimmon.
hồng kiểm	() rose cheeks.
hồng kỳ	() red flag.
hồng lai giống	() hydrid roses.
hồng lan	() (bot) cymbidium insigne.
hồng lạng	() (bot) persimmon grown in lang son province.
hồng lâu	((từ nghĩa cũ) red pavillion palace (of high-born girls in the feudal times)) singsong girl's abode, pleasure house.
hồng lệ	() red tears, tears mixed with blood.
hồng liên	() red lotus.
hồng lô	() (obsolete) mandarin title.
hồng mao	() wild goose down.
hồng mao	() (nghĩa xấu) western.
hồng mao	() occidental.
hồng ngâm	() soaked japanese persimmon (thus rid of tannin).
hồng nghiệp	() great heritage.
hồng ngoại	() infrared.
hồng ngoại kính	() infrared telescope.
hồng ngoại tuyến	() infrared ray.
hồng ngọc	() ruby.
hồng nguyên	() great principle.
hồng nhan	(dtừ) beautiful woman.
hồng nhan	(dtừ) beautiful girl.
hồng nhạn	() wild goose and duck.
hồng nhạt	(ttừ) flesh-coloured, pinkish, carnation.
hồng nhung	() (thục) velvety rose.
hồng phúc	(dtừ) great blessing.
hồng quân	((từ-nghĩa cũ) văn chương) heaven.
hồng quân	((từ-nghĩa cũ) (từ nghĩa cũ) communist army.
hồng quân	((từ-nghĩa cũ) red army.
hồng quần	() red trousers.
hồng quần	() (nghĩa bóng) beautiful girl.
hồng quần	() fair.
hồng sắc	() (gỗ hồng sắc) reddish wood (second-class wood).
hồng tâm	(dtừ) bull's eye.
hồng thảo	() prince's feather (thực vật).
hồng thập tự	() xem chữ thập đỏ.
hồng thiếp	() wedding announcement (on red paper).
hồng thuỷ	() xem nạn hồng thuỷ.
hồng tiểu binh	() little red guards.
hồng trần	() như bụi hồng.
hồng tươi	(ttừ) incarnadine, incarnate.
hồng tước	() jenny wren (chim).
hồng vận	() good luck, good fortune.
hồng vệ binh	() red guard (during the chinese cultural revolution).
hồng xanh	() green persimmon.
hồng xiêm	() sapodila.
hồng y	() như hồng y giáo chủ.
hồng y giáo chủ	() cardinal.
hổ	() tiger.
hổ cái	(dtừ) tigress.
hổ cáp	() scorpion.
hổ cốt	() tiger bone.
hổ cứ	() strategic spot.
hổ đầu	() tiger's head.
hổ giấy	() paper-tiger.
hổ huyệt	() tiger's den.
hổ khẩu	() tiger's mouth.
hổ khẩu	() hand's radial side.
hổ lang	() cats, wild fierce animals, ferocious beasts (nói khái quát).
hổ lốn	() hotchpotch-like, miscellaneous.
hổ lửa	() xem rắn hổ lửa.
hổ mang	() xem rắn hổ mang.
hổ mặt	() be ashamed.
hổ ngươi	() feel ashamed.
hổ phách	(dtừ) amber.
hổ phách kim	() electrum.
hổ phách xám	() ambergris.
hổ phận	() be ashamed of one's status.
hổ phù	() ancient military officers' tigerhead-shaped seal (insignia...).
hổ phù	() tiger-faced design.
hổ phù	() (b)(thông tục) face bloated with anger.
hổ phụ sinh hổ tử	() like father, like son.
hổ quyền	() tiger fight.
hổ thân	() be ashamed of one's condition.
hổ thẹn	(ttừ) shameful.
hổ thẹn	(ttừ) ashamed.
hổ trướng	() (từ nghĩa cũ) army commander's headquarters.
hổ tương	() reciprocal, mutual, interacting.
hổ tướng	() brave and strong general.
hổ uy	() tiger's majesty.
hổ vô đầu	(thngữ) sheep that have no shepherd.
hổi	() steaming (hot).
hổi	() hôi hổi (láy).
hổi tỉnh lại	(ttừ) restorative.
hổn hà hổn hển	() pant, gasp.
hổn hển	() panting.
hổn hển	() hổn ha hổn hển (láy, ý tăng).
hổng	() having gaps, gaping, hollow.
hổng đít	() split-seam bottomed (children's trousers).
hổng hểnh	() full of gaps, widely gaping, exposed.
hổng trôn	() bottomless.
hỗ bổ	() complementary.
hỗ bổ	() complement each other.
hỗ cảm	() mutual induction.
hỗ dẫn	() mutual conductance.
hỗ dịch	() mutual exchange.
hỗ dịch	() comutative.
hỗ giá	((từ-nghĩa cổ) follow, escort the imperial carriage) set a price.
hỗ hoán	() exchange, interchange.
hỗ huệ	() (từ-nghĩa cổ) reciprocal concessions.
hỗ lốn	(ttừ) farraginous.
hỗ quan	() correlative.
hỗ tác	() interaction.
hỗ tán	() mutual diffusion.
hỗ tòng	() follow, accompany.
hỗ trợ	() to assist.
hỗ trợ	() to support.
hỗ trợ kỹ thuật	() technical assistance.
hỗ trợ phát triển	() development assistance.
hỗ trợ tài chính	() financial aid/assistance/support.
hỗ tương	() mutual.
hỗ tương	() reciprocal.
hỗ tương tác dụng	() interaction.
hỗn	() xem hỗn láo.
hỗn âm	() crosstalk.
hỗn ẩu	() fight (with).
hỗn chiến	() scuffle.
hỗn chiến	() dogfight.
hỗn chỉ hống	() amalgamated lead.
hỗn chủng	() mixed species.
hỗn dược	() mixture.
hỗn đấu	() brawl, melee, free-for-all, dogfight.
hỗn đồng	() unify.
hỗn độn	() chaotic.
hỗn độn	() confused.
hỗn giao	() sexual reproduction.
hỗn hào	() như hỗn láo.
hỗn hòa	() (of committee or commission) joint, mixed alloy, mixture.
hỗn hống	() (hóa) amalgam.
hỗn hống hóa	(dtừ) amalgamation.
hỗn hống hóa	(đtừ) amalgamate.
hỗn hống thiếc	(dtừ) tain.
hỗn hợp	() (hóa học) mixture.
hỗn hợp	() joint.
hỗn hợp	() mixed.
hỗn hợp	() combined.
hỗn hợp làm đông	(dtừ) freezing-mixture.
hỗn hợp lại bằng cách nấu chảy ra	(dtừ) fusion.
hỗn hợp lạnh	(dtừ) cryogen.
hỗn hợp sinh hàn	(dtừ) cryogen.
hỗn hợp vào	(ngđtừ) knead.
hỗn láo	() rude.
hỗn láo	() insolent.
hỗn láo	() impertinent.
hỗn láo	() impudent.
hỗn láo	() cheeky.
hỗn láo	() saucy.
hỗn loạn	() troublous.
hỗn loạn	() chaotic.
hỗn loạn ghê gớm	(dtừ) mayhem.
hỗn loạn tột độ	(dtừ) pandemonium.
hỗn mang	() (thời kỳ hỗn mang) chaos.
hỗn nguyên	() chaotic.
hỗn nguyên	() (thời đại hỗn nguyên) chaos.
hỗn nhất	() unify.
hỗn nhập	() mix, blend.
hỗn như gấu	(thngữ) as gruff as a bear.
hỗn phân	() (bot) anisomerous.
hỗn quân hỗn quan	() chaos.
hỗn số	(thngữ) improper fraction.
hỗn tạp	() mishmash-like, hodge-podge-like, jumbled up.
hỗn tệ	() disorder.
hỗn thành tính	() hybridism.
hỗn thực	() (sinh học) omnivorous.
hỗn trọc	() unclear.
hỗn vừa chứ!	(thngữ) enough of this cheek!.
hỗn vừa vừa chứ	(thngữ) less of your lip!.
hỗn xược	() xem xấc xược.
hỗn xược một cách vô cớ	(thngữ) to go out of one's way to be rude.
hỗng	() cheeky.
hỗng	() impolite.
hỗng	() rude.
hỗng tràng	() jejunum.
hộ	() for.
hộ	() household.
hộ	() xem toà hộ, hộ luật.
hộ bộ	() (từ nghĩa cũ) ministry of finance.
hộ chiếu	() passport.
hộ chiếu thường	() ordinary passport.
hộ chủ	() homeowner.
hộ dân sự	(ttừ) civil.
hộ dẫn	() accompany, guide.
hộ dị	() distinct, different.
hộ dịch	() distinct, different.
hộ dũng	() brave bodyguard.
hộ đê	() maintain the dykes.
hộ gia đình	() household.
hộ giá	() (từ nghĩa cũ) be a member of the royal retinue, be a royal escort, be a royal bodyguard.
hộ khẩu	(dtừ) population.
hộ khẩu	(dtừ) number of inhabitants.
hộ lại	() (từ nghĩa cũ) village registrar (keeping records of births, deaths and marriages).
hộ luật	() xem luật dân sự.
hộ lý	() hospital orderly.
hộ lý quân y	(dtừ) corpsman.
hộ mạng	() địa phương.
hộ mạng	() như hộ mệnh.
hộ mệnh	() tutelary.
hộ pháp	() names of the two colossal statues guarding the main gate of a pagoda.
hộ pháp	() highest caodai dignitary.
hộ pháp	() giant, colossus.
hộ pháp cắn trắn	() assign great talents to small tasks.
hộ phố	() precinct chief, ward chief.
hộ phù	() talisman, charm.
hộ quốc	() defend the state.
hộ sản	() (từ nghĩa cũ) như hộ sinh.
hộ sinh	() midwife.
hộ sĩ	() (từ nghĩa cũ) nurse.
hộ tang	() see to a burial.
hộ tâm kính	() breastplate.
hộ tất	() protect, shelter, shield, guard (from against).
hộ thành	() defend a walled city, guard a city.
hộ thân	(dtừ) seft-protection.
hộ thuế	() tax on property.
hộ thủ	() guard.
hộ thủ	() keep.
hộ tinh	() satellite.
hộ tịch	() births, deaths and marriages.
hộ tịch viên	(dtừ) registrar.
hộ tống	() to escort.
hộ tống cơ	() escort carrier.
hộ tống hạm	() escort ship.
hộ tốt	() escort soldier.
hộ trì	() help, assist.
hộ vệ	(đtừ) to guard.
hộc	(dtừ) unit of dry measure.
hộc	(đtừ) to vomit.
hộc đích	() aim, goal, purpose.
hộc hà hộc hệch	() xem hộc hệch (láy).
hộc hệch	() broad-minded, easy-going.
hộc hệch	() hộc hà hộc hệch (láy, ý tăng).
hộc lên	() cry out loudly.
hộc máu	() vomit blood.
hộc máu	() sweat blood.
hộc tiết	() như hộc máu.
hộc tốc	() breathless.
hộc tốc dốc gan	() xem hộc tốc.
hộc tủ	() drawer.
hộc xôi	() a plateful of cooked glutinous rice.
hội	() association.
hội	() society.
hội	() to meet.
hội	() to fulfil.
hội ái hữu	() friendly society.
hội ái hữu	() provident society.
hội ẩm	() to drink together.
hội bác ái	(dtừ) samaritan.
hội bảo tồn danh lam thắng cảnh	(thngữ) national trust.
hội bảo trợ bệnh nhân nghèo	() sponsorial association for poor patients.
hội bảo vệ người tiêu dùng	() consumer protection association.
hội bảo vệ súc vật	() society for the protection of animals.
hội binh	() to mass troops.
hội buôn	() commercial firm.
hội buôn hữu hạn	() limited partnership.
hội buôn vô hạn	() unlimited partnership.
hội buôn vô hạn	() general partnership.
hội cha mẹ học sinh	() parent-teacher association.
hội chẩn	() to hold a consultation.
hội chơi họ	(dtừ) loan-society.
hội chơi họ làm nhà	(dtừ) building-society.
hội chơi họ nhỏ	(dtừ) slate-club.
hội chơi thuyền	(dtừ) yacht-club.
hội chợ	() fair.
hội chợ giải trí	(thngữ) fun-fair.
hội chợ hàng thủ công	() craft fair.
hội chợ phù hoa	(thngữ) vanity fair.
hội chợ quốc tế	() international fair.
hội chợ thế giới	() world fair.
hội chợ thương mại	() trade fair.
hội chợ triển lãm	() trade fair.
hội chủ	() president.
hội chủ	() chairman (of an association).
hội chứng	() syndrome.
hội chứng bất động	() akinetic syndrome.
hội chứng down	(dtừ) mongolism.
hội chứng down	(dtừ) down's syndrome.
hội chứng down	(dtừ) down syndrome.
hội chứng đau bụng	() abdominal syndrome.
hội chứng suy nhược	() asthenic syndrome.
hội chữ thập đỏ	() red cross.
hội chữ thập đỏ quốc tế	() international red cross.
hội chữ thập đỏ quốc tế	() international federation of the red cross.
hội cựu chiến binh	() veterans' organization.
hội danh	() company/corporate name.
hội diễn	() variety festival.
hội diện	() meet face to face.
hội đàm	() to have a discussion/talk with somebody about something.
hội đạo do thái	(dtừ) synagogue.
hội đạo do thái	(ttừ) synagogical.
hội đền	() temple festival.
hội đoàn	() association.
hội đoàn thể	(dtừ) phalanx.
hội đồng	() assembly.
hội đồng	() board.
hội đồng	() body.
hội đồng	() council.
hội đồng an ninh quốc gia	() national security council.
hội đồng anh	() british council.
hội đồng anh	() bc.
hội đồng ân xá	() amnesty council.
hội đồng bảo an	() security council.
hội đồng bầu cử	() electoral council.
hội đồng bô lão	() council of elders.
hội đồng bộ trưởng	() cabinet council.
hội đồng bộ trưởng	() council of ministers.
hội đồng chấm thi	() board of examiners.
hội đồng chấm thi	() jury.
hội đồng chính phủ	() cabinet council.
hội đồng chung thẩm	() board of review.
hội đồng cố vấn	() advisory board.
hội đồng cố vấn	() consultative body.
hội đồng cơ mật	() privy council.
hội đồng đề hình	() xem toà án quân sự.
hội đồng định giá	() pricing committee.
hội đồng đô thành	() municipal council.
hội đồng đô thành	() city council.
hội đồng đốc chính	(dtừ) directory.
hội đồng gia tộc	() family council.
hội đồng giám định y khoa	() medical survey council.
hội đồng giám khảo	() board of examiners.
hội đồng giám khảo	() jury.
hội đồng giám mục	() council of bishops.
hội đồng giáo chủ	(dtừ) consistory.
hội đồng giáo hội	() ecumenical council.
hội đồng hạt	(thngữ) county council.
hội đồng hoàng gia	() royal commission.
hội đồng hoạch định chính sách	() policymaking committee.
hội đồng hóa giá nhà	() housing sale committee.
hội đồng hòa bính thế giới	() world peace council.
hội đồng khoa	() faculty council (in a college).
hội đồng khôi phục trật tự và luật pháp quốc gia	() state law and order restoration council (of myanmar).
hội đồng kiểm soát	() control board.
hội đồng kinh tế	() economic council.
hội đồng kinh tế và xã hội	() economic and social council.
hội đồng kinh tế và xã hội	() ecosoc.
hội đồng kỷ luật	() disciplinary board/committee.
hội đồng kỹ thuật	() technical committee.
hội đồng kỹ thuật khoa học	() scientific and technical council.
hội đồng lập pháp	() legislative assembly.
hội đồng lập pháp	() legislative council.
hội đồng mỗi tuần họp một lần	(thngữ) hebdomadal council.
hội đồng nghiệm thu	() check and acceptance board.
hội đồng nghĩa vụ quân sự	() draft board.
hội đồng nhà nước	() council of state.
hội đồng nhà nước	() state council.
hội đồng nhà thờ thế giới	() world council of churches.
hội đồng nhân dân	() people's council.
hội đồng nhân sĩ	() assembly of notables.
hội đồng nội các	() cabinet council.
hội đồng phật giáo	() buddhist council.
hội đồng quản trị	() board of directors.
hội đồng quân lực	() armed forces council.
hội đồng quân nhân	() military council.
hội đồng quân nhân cách mạng	() revolutionary military council.
hội đồng quốc phòng	() council of war.
hội đồng quốc phòng	() national defense council.
hội đồng sư phạm	() school board.
hội đồng sư phạm	() school council.
hội đồng thành phố	() municipal council.
hội đồng thành phố	() city council.
hội đồng thi	() board of examiners.
hội đồng thi	() exam board.
hội đồng thi đua	() emulation board.
hội đồng thi hành án	() council for execution of sentences.
hội đồng tỉnh	() provincial council.
hội đồng trọng tài	() arbitration committee/commission.
hội đồng tuyển quân	() recruiting board.
hội đồng tuyển quân	() draft board.
hội đồng tư pháp	() judicial council.
hội đồng tư vấn	() advisory board.
hội đồng tư vấn	() consultative body.
hội đồng tương trợ kinh tế	() council for mutual economic assistance.
hội đồng tương trợ kinh tế	() comecon.
hội đồng tương trợ kinh tế	() cmea.
hội đồng xã	() village council.
hội đồng xét xử	() jury.
hội đồng xét xử	() panel.
hội đua ngựa	(thngữ) jockey club.
hội giám lý	(dtừ) methodism.
hội giảng	() teaching festival.
hội hè	() festivities.
hội hè	() celebrations.
hội hè	() merrymaking.
hội hè	() rejoicings.
hội hè đình đám	(dtừ) jollity.
hội hoạ	(dtừ) painting.
hội học sinh đại học	(dtừ) fraternity.
hội họp	() to meet.
hội họp	() to gather.
hội họp tế lễ	(nđtừ) powwow.
hội hồng thập tự	() xem hội chữ thập đỏ.
hội hợp thiện	() benevolent association.
hội hữu	() fellow member (of an association).
hội kiến	() to meet for an exchange of views.
hội kín	() secret/underground society.
hội liên hiệp	() union.
hội liên hiệp giá cả	(dtừ) price-ring.
hội lưỡi liềm đỏ	() red crescent.
hội mùa	() harvest home.
hội mùa	() harvest festival.
hội mùa	() pentecost.
hội ngày mùa	() harvest festival.
hội ngày mùa	() pentecost.
hội nghệ sĩ	() artists' society.
hội nghệ sĩ sân khấu việt nam	() association of vietnamese performing artists.
hội nghị	() conference.
hội nghị	() meeting.
hội nghị á phi	() afro-asian conference.
hội nghị bàn tròn	() round-table conference.
hội nghị bàn tròn	() round table.
hội nghị bất thường	() extraordinary session/conference.
hội nghị các giáo chủ áo đỏ	(dtừ) conclave.
hội nghị cán bộ	() staff meeting.
hội nghị cấp cao	() xem hội nghị thượng đỉnh.
hội nghị cấp cao nhất	(dtừ) summit.
hội nghị chính trị đặc biệt	() special political conference.
hội nghị chính trị hiệp thương nhân dân	() people's political consultative conference (china).
hội nghị chuyên đề	() seminar.
hội nghị chuyên đề	() symposium.
hội nghị công khai	() open meeting.
hội nghị lập pháp	(dtừ) assembly.
hội nghị liên bộ	() interministerial/interdepartmental conference.
hội nghị mật	() secret meeting.
hội nghị mật	() caucus.
hội nghị mậu dịch và phát triển của liên hiệp quốc	() united nations conference on trade and development.
hội nghị mậu dịch và phát triển của liên hiệp quốc	() unctad.
hội nghị quốc tế	(dtừ) diet.
hội nghị thảo luận khoa học	(ttừ) symposial.
hội nghị thường kỳ	() periodical/regular conference.
hội nghị thường niên	() annual/yearly conference.
hội nghị thượng đỉnh	() summit conference.
hội nghị thượng đỉnh	() summit.
hội nghị toàn thể	() full/plenary session/.
hội nghị toàn thể	() general meeting.
hội nghị toàn thể	() plenum.
hội nghị tôn giáo	() synod.
hội nghị trù bị	() preparatory meeting/conference.
hội nghị trường đại học	(dtừ) convocation.
hội nghị tuyển lựa ứng cử viên	(thngữ) primary meeting (assembly).
hội ngoài trời	(dtừ) fốte champốtre.
hội ngộ	() to meet.
hội nguyên	() (từ-nghĩa cũ) first laureate at pre-court copetition examination.
hội nhà văn	() writers' society.
hội nhảy của đoàn người đi săn	(dtừ) hunt ball.
hội nhập	() to integrate.
hội những người yêu sách	(dtừ) book-club.
hội phí	() subscription.
hội phí	() dues.
hội phí	() membership fees.
hội phụ nữ	(dtừ) sorosis, sorority.
hội phụ nữ từ thiện	(dtừ) sisterhood.
hội quán	() club-house.
hội quốc liên	() league of nations.
hội sinh	() (sinh học) commensalism.
hội sở	() xem hội quán.
hội tam điểm	(dtừ) masonry, freemasonry, craft.
hội tam điểm	(ttừ) masonic.
hội tề	() (từ nghĩa cũ) local puppet administration (in enemy-occupied areas).
hội thao	() manoeuvres.
hội thánh	() religious society.
hội thảo	() teach-in.
hội thảo	() workshop.
hội thảo	() seminar.
hội thẩm	() juror.
hội thẩm	() juryman.
hội thẩm	() jurywoman.
hội thẩm dự khuyết	(dtừ) talesman.
hội thi	() festival of competition.
hội thiện	() (từ nghĩa cũ) charity.
hội thí	() (từ nghĩa cũ) như thi hội.
hội thoại	() to talk.
hội thoại	() to converse.
hội thương	() confer (with), take counsel (with).
hội thương	() conference, meeting.
hội tịch	() member of association.
hội tôn giáo	(dtừ) sodality.
hội truyền giáo	(dtừ) mission.
hội truyền giáo	(ttừ) missionary.
hội trường	() meeting-hall.
hội trường	() assembly-room.
hội trường	() conference room.
hội trưởng	() president (of a siciety) chairman (of an association).
hội trưởng câu lạc bộ thuyền đua	(dtừ) commodore.
hội tụ	() (vật lý) to converge.
hội tương tế	() mutual-aid society.
hội tương tề tôn giáo	(dtừ) sodality.
hội từ thiện	() charitable organization.
hội từ thiện	() charity.
hội văn bút	() pen club.
hội văn nghệ	() writers and artists association.
hội văn nghệ giải phóng miền nam	() south vietnamese liberation writers and artists association.
hội viên	() associate.
hội viên	() member.
hội viên bí mật	(dtừ) crypto.
hội viên câu lạc bộ	(dtừ) clubman.
hội viên câu lạc bộ đảng uých	(dtừ) kit-cat.
hội viên chính thức	() full member.
hội viên cùng câu lạc bộ	(dtừ) stable-companion.
hội viên danh dự	() honorary member.
hội viên học viện	(dtừ) academic.
hội viên hội ái hữu ôc-phen-lô	(dtừ) oddfellow.
hội viên hội đồng	(dtừ) councilman.
hội viên hội tam điểm	(dtừ) mason, freemason.
hội viên hùn vốn	(thngữ) silent partner.
hội viên hùn vốn kín	(thngữ) sleeping partner.
hội viên mãn đời	() life member.
hội viên mới	(dtừ) recruit.
hội viên nhiều câu lạc bộ	(dtừ) joiner.
hội viên phường hội	(dtừ) liveryman.
hội viên sáng lập	() xem sáng lập viên.
hội viên thi đàn	(dtừ) parnassian.
hội xén lông cừu	(dtừ) sheep-shearing.
hội ý	() to consult/confer with somebody.
hội ý	() to take counsel with somebody about something.
hội ý bí mật	(dtừ) huddle.
hội ý giữa các luật sư	(dtừ) consultation.
hội ý riêng	(dtừ) huddle.
hội ý với nhau	(thngữ) to lay (put) heads together.
hộn	() add up, balance.
hộn	() mix up.
hộp	() can.
hộp	() tin.
hộp	() box.
hộp an toàn	(dtừ) safety box.
hộp âu dược	() western medicine kit.
hộp ấn	(dtừ) skippet.
hộp ba số	(dtừ) (auto) three speed gear box.
hộp bách dụng kháng độc	() all-purpose canister.
hộp bánh xe khía	(dtừ) gear case.
hộp bật lửa	(dtừ) tinder-box.
hộp bìa cứng	(dtừ) bandbox, carton.
hộp bốn số	(dtừ) (auto) four speed gear box.
hộp bút	() pen case.
hộp bút chì	() pencil case.
hộp bút chì	() pencil box.
hộp cát	(dtừ) sand-box.
hộp chọn	() (tin học) selection box.
hộp chọn	() check box.
hộp chứa bộ số của xe cộ	(dtừ) gear-box.
hộp công cụ	() toolbox.
hộp cộng minh	() resonance box.
hộp cuộn	() (tin học) scroll box.
hộp dẹt đựng thuốc viên	(dtừ) pillbox.
hộp dựng	(dtừ) containerize.
hộp đánh dấu vùng đã gỡ mìn	(dtừ) dan.
hộp đạn	(dtừ) cartridge-box.
hộp đen	() black box.
hộp đen	() flight-recorder.
hộp đèn tín hiệu	(dtừ) signal-box.
hộp đêm	() cabaret.
hộp đêm	() night-club.
hộp để đóng hàng	(dtừ) package.
hộp điện trở	(dtừ) resistance-box.
hộp đồ hộp	(dtừ) can.
hộp đồ khâu	(dtừ) housewife.
hộp đồ khâu vá	(dtừ) work-box.
hộp đựng bánh thánh	(dtừ) pyx, canister.
hộp đựng bảng mẫu sâu bọ	(dtừ) setting-box.
hộp đựng bút chì	(dtừ) pencil-box.
hộp đựng châu báu	(dtừ) jewel-box.
hộp đựng của bố thí	(dtừ) poor-box.
hộp đựng dao dĩa	(dtừ) canteen.
hộp đựng dụng cụ	(dtừ) holdall.
hộp đựng đồ nghề	(dtừ) holdall.
hộp đựng đồ trang sức	(dtừ) dressing-bag.
hộp đựng hàng	(dtừ) container.
hộp đựng mỡ	(dtừ) grease-cup.
hộp đựng muối	(dtừ) salt box.
hộp đựng nhẫn	(dtừ) ring-case.
hộp đựng phấn	(dtừ) flapjack.
hộp đựng ruồi	(dtừ) fly-book.
hộp đựng súng thể thao	(dtừ) gun-case.
hộp đựng tặng phẩm	(thngữ) gift box, gift pack.
hộp đựng thuốc hít	(dtừ) snuff-box.
hộp đựng thuốc lá	(đtừ) tobacco-box.
hộp đựng thuốc lá điếu	(dtừ) cigarette-case.
hộp đựng tiền góp	(dtừ) pool.
hộp đựng tiền vàng mẫu để thử	(dtừ) pyx.
hộp đựng trà	(dtừ) tea-caddy.
hộp đựng viôlông	(dtừ) fiddle-case.
hộp đựng xì gà	(dtừ) cigar-case.
hộp giữ độ ẩm cho xì gà	(dtừ) humidor.
hộp hình nộm	(dtừ) jack-in-the-box.
hộp hơi	(dtừ) steam-box.
hộp không khí	(dtừ) air-chamber.
hộp kính	(dtừ) glass case.
hộp la bàn	(dtừ) binnacle.
hộp màu	(dtừ) colour-box.
hộp mực dấu	() ink-pad.
hộp mực máy in	() ink cartridge.
hộp mực máy in	() toner cartridge.
hộp nhỏ	(dtừ) canister, pyxis.
hộp nông	(dtừ) flat.
hộp nữ trang	() jewelry box.
hộp nữ trang	() jewelry case.
hộp nữ trang	() jewel case.
hộp ống lót	(dtừ) box.
hộp ổ trục	(dtừ) axle-box, journal-box.
hộp phân điện	(dtừ) switchboard box.
hộp phấn có nùi bông thoa	(dtừ) puff-box.
hộp phấn sáp	() (bỏ túi) compact.
hộp phấn sáp bỏ túi	(dtừ) compact.
hộp phiếu	() card file.
hộp pin	() battery holder, case.
hộp quẹt	() matchbox.
hộp quẹt	() box of matches.
hộp quẹt	() xem bật lửa.
hộp rắc bột mì	(dtừ) flour-box.
hộp rắc đường	(dtừ) sugar-dredger.
hộp rơle	(dtừ) relay-box.
hộp sang số	() gear-box.
hộp sắt	() can.
hộp sắt tây	(dtừ) tin.
hộp sọ	() brainbox.
hộp sọ	() cranium.
hộp sọ	() skull.
hộp số	() (kỹ thuật) gear-box.
hộp sưu tập	(dtừ) vasculum.
hộp tăng âm	() sound-box.
hộp thiếc	(dtừ) tin.
hộp thoại	() (tin học) dialog box.
hộp thuốc	(dtừ) medicine chest.
hộp thuốc màu	(dtừ) paint-box.
hộp thuốc súng	(dtừ) powder-flask.
hộp thuốc vẽ	(dtừ) paint-box, colour-box.
hộp thư	() letter-box.
hộp thư	() post-box.
hộp thư	() mailbox.
hộp thư chết	() secret letter-box.
hộp thư đến	() (tin học) inbox.
hộp thư đi	() (tin học) outbox.
hộp thư điện tử	() e-mail box.
hộp thư góp ý	() suggestions box.
hộp thư phụ	() secondary letter-box.
hộp thư sống	() mail drop.
hộp thư truyền thanh/truyền hình	() phone-in.
hộp thư truyền thanh/truyền hình	() call-in.
hộp tiêu bản	(dtừ) vasculum.
hộp tiền quyên góp	(dtừ) money-box.
hộp tráp nhỏ	(dtừ) casket.
hộp trà	() tea caddy.
hộp tro	(dtừ) cave, cinder-box, ash-box.
hộp văn bản	() (tin học) text box.
hộp xilanh	(thngữ) cylinder block.
hột	() xem hạt 1, 2, 3, 4, 5.
hột bông	() cotton-seed.
hột ca cao	() cocoa bean.
hột cacao	(dtừ) cacao.
hột cacao	(thngữ) cocoa bean.
hột cacao đã bóc vỏ	(thngữ) cocoa nib.
hột cà phê	() coffee bean.
hột cà phê rang	(dtừ) coffee.
hột cơm	() wart.
hột đào lộn hột	(dtừ) cashew.
hột đỗ đậu	(dtừ) pulse.
hột gà lộn	() half-hatched chicken egg.
hột nho	(dtừ) grape-stone.
hột nhỏ	(dtừ) granule.
hột quả thuốc phiện	(dtừ) mawseed.
hột tào cáo	() dice.
hột tiêu	() peppercorn.
hột vịt	() duck egg.
hột xoài	() chancre (a kind of venereal disease).
hột xoàn	() diamond.
hột xoàn cắt bằng mặt	(dtừ) table-diamond.
hơ	(đtừ) to dry.
hơ hớ	() (of girl) young, virgin.
hơ hở	() in the bloom of youth, in the glow of juvenile beauty (nói về cô gái).
hơi	() gas.
hơi	() steam.
hơi	() fume.
hơi	() smell.
hơi	() odour.
hơi	() stretch.
hơi	() gulp.
hơi	() breath.
hơi	() a little.
hơi	() a bit.
hơi	() slightly.
hơi	() rather.
hơi	() somewhat.
hơi ảm đạm	(ttừ) dullish.
hơi ấm	() warmth.
hơi ầm ĩ	(ttừ) loudish.
hơi ẩm	() moisture.
hơi bằng	(ttừ) flattish.
hơi béo	(ttừ) tubbish.
hơi bẹt	(ttừ) flattish.
hơi bền	(ttừ) toughish.
hơi bốc	() steam, water vapour.
hơi bốc sau	(dtừ) afterdamp.
hơi bùn	() smell of mud.
hơi cay	() tear gas.
hơi cấp	(ttừ) subacute.
hơi chát	(ttừ) tartish.
hơi cháy	() gas, natural gas.
hơi chảy nước mắt	() tear gas.
hơi chậm	(ttừ) latish.
hơi chếnh choáng say	(ttừ) half-seas-over.
hơi chua	() acidulent, acidulous.
hơi chua	() somewhat sour.
hơi có mùi	(ttừ) sniffy, high.
hơi có sừng	(ttừ) subcorneous.
hơi cố chấp	(ttừ) toughish.
hơi cống	(dtừ) sewer gas.
hơi cộc cằn	(ttừ) gruffish.
hơi cộc lốc	(ttừ) gruffish.
hơi của nó làm cháy da	(thngữ) mustard gas.
hơi cũ	(dtừ) oldishness.
hơi cũ	(ttừ) oldish.
hơi cứng	(ttừ) stiffish.
hơi dai	(ttừ) toughish.
hơi dài	(dtừ) long-windedness.
hơi dài	(ttừ) longish.
hơi dày	(ttừ) thickish.
hơi dâu	() what is the use of...?.
hơi dính	(ttừ) subgelatinous.
hơi dịu	(ttừ) softish.
