ka ki	() khaki.
khổng lồ	() giant.
khổng lồ	() titanic.
khổng lồ	() gigantic.
khổng lồ	() huge.
khổng lồ	() enormous.
khổng tước	() (văn chương) peacock.
khổng tử	() confucius.
khơ khớ	() xem khớ.
khơ me	() khmer.
khơi	() high seas.
khơi	() open sea.
khơi	() to enlarge.
khơi	() to dig.
khơi chuyện	() start up a conversation.
khơi chuyện	() provoke quarrels.
khơi chừng	() (văn chương) quite far, quite remote, far away.
khơi diễn	() (văn chương) located far away in a far remote place.
khơi lại	(ngđtừ) rip, revive.
khơi lại	(thngữ) to rake up.
khơi mào	() introductory.
khơi sâu	() make more acute, worsen.
khơi thành máng	(ngđtừ) gully.
khơi thành rãnh	(ngđtừ) gully.
khớ	() pretty well, quite enough.
khớ	() (khơ khớ)(láy, ý giảm).
khớp	() to have stage fright.
khớp	() joint.
khớp	() articulation.
khớp	() to match.
khớp	() to coincide.
khớp	() to concur.
khớp	() to tally.
khớp	() to square.
khớp bản lề	() knuckle.
khớp bằng dây chằng	(dtừ) syndesmosis.
khớp bằng dây chằng	(ttừ) syndesmotic.
khớp bất động	(dtừ) synarthrosis.
khớp cacđăng	(dtừ) cardan-joint.
khớp các-đăng	(dtừ) gimbals.
khớp chỏm	(dtừ) enarthrosis.
khớp cổ tay	(dtừ) wrist-joint.
khớp đầu gối	() patella.
khớp đốt	(dtừ) knuckle-joint.
khớp đốt ngón tay	(dtừ) knuckle.
khớp háng	(dtừ) coxa, hip-joint.
khớp húc	(dtừ) hook's joint.
khớp khuyên	(dtừ) swivel.
khớp lại với nhau	(dtừ) articulation.
khớp lại với nhau	(đtừ) articulate.
khớp ly hợp	(dtừ) clutch.
khớp mạc	() synovial membrane.
khớp mắt cá chân sau	(dtừ) hough.
khớp ngoạm	(ngđtừ) halve.
khớp nhau	(dtừ) mesh.
khớp nhau	(nđtừ) mesh.
khớp nối	() joint, splice, fitting.
khớp răng	() (kỹ thuật) gear.
khớp thần kinh	(dtừ) synapse.
khớp trục ren	(dtừ) screw coupling.
khớp vào nhau	(đtừ) interlock.
khớp viêm	() arthritis.
khớp với	() fit/jibe/match with.
khớp với nhau	(đtừ) dovetail.
khớp với nhau	(thngữ) to marry up.
khớp xoay	(dtừ) knee.
khớp xương	() joint.
khớp xương tròn	() enarthrosis.
khờ	(ttừ) unwise.
khờ	(ttừ) credulous.
khờ dại	() naive and foolish, stupid.
khờ khạo	() naive.
khờ khĩnh	() như khờ.
khởi	() begin, start, raise.
khởi binh	() raise an army for a war.
khởi chiến	() open hostilites, start hostilities.
khởi chiếu	() (of film) begin to show.
khởi công	() to set to work.
khởi công	() to start work.
khởi công làm	(thngữ) to set one's hand to a task.
khởi diễn	() (of play) start, begin, commence (to perform, to give performance).
khởi đầu	() to start.
khởi đầu	() to begin.
khởi đầu không thành công	(thngữ) (make) a false start.
khởi điểm	() starting point.
khởi động	() (tin học) to boot.
khởi động	() to start.
khởi động	() (thể thao) to do a warm-up.
khởi động	() to warm up.
khởi động	() to limber up.
khởi động lại	() xem tái khởi động.
khởi hành	() to depart.
khởi hành	() to start.
khởi hấn	() open the hostilities.
khởi kiến	() original idea.
khởi lập	() rise, stand up.
khởi loạn	() rebel, rise (against an estalished authority according to the feudatists' conception).
khởi nghĩa	() rise up in arms (against an opperessive rule).
khởi nghịch	() rebel.
khởi nguyên	() rise, orgin, beginning.
khởi ngữ	() sentence introducer.
khởi phát	() rise.
khởi phục	() restore, reinstate.
khởi sắc	() prosper, thrive.
khởi sơ	() (ít dùng) begin, start.
khởi sự	() begin, start, set in.
khởi sự lại	(đtừ) recommence.
khởi thảo	() make the first draft (of a document...).
khởi thủy	() initital.
khởi tố	() (luật pháp) introduction of instance.
khởi tổ	() founder.
khởi trình	() start a journey.
khởi xạ điểm	() initial firing point.
khởi xướng	(đtừ) to take the initiative.
khu	() district.
khu	() area.
khu	() zone.
khu	() ward.
khu an ninh quân đội	() military security service, division tactical area.
khu an toàn	() safe haven.
khu an toàn	() secure area.
khu ấp chiến lược	() strategic hamlet region.
khu báo chí	(thngữ) fleet street.
khu bày hàng	(dtừ) department.
khu bảo tồn	() reserve.
khu bảo tồn	() sanctuary.
khu bảo tồn chim muông thú rừng	(dtừ) sanctuary.
khu bầu cử	() electoral district.
khu bầu cử	() constituency.
khu biệt	() to localize.
khu biệt giam	() separate detention area.
khu biệt giam	() solitary confinement area.
khu biệt thự ở ngoại ô	(dtừ) villadom.
khu bộ	() local committee.
khu buôn bán	() shopping area.
khu bưu chính	() postal delivery zone.
khu cách ly	() isolation ward.
khu cảng	(dtừ) water-front.
khu căn cứ	() base area.
khu cấm	(thngữ) forbidden ground.
khu chế xuất	() export proccessing zone.
khu chiến lược	() strategic zone.
khu chiến thuật	() division tactical zone.
khu công nghiệp	() industrial park.
khu công nghiệp	() industrial zone.
khu công nghiệp	() industrial estate.
khu công viên có bể nuôi	(dtừ) aquarium.
khu cư xá	() housing estate.
khu cư xá thành phố	(dtừ) council-estate.
khu da đen	(đtừ) township.
khu dành riêng	() reserved area.
khu dân cư	() residential quarter/area.
khu dinh điền	() land development centre.
khu do thái	(dtừ) jewry.
khu doanh trại	() billeting area.
khu du kích	() guerrilla area.
khu du lịch	() tourist area.
khu đặc biệt	() special area.
khu đất	(dtừ) ground.
khu đất chăn nuôi có rào	(dtừ) kraal.
khu đất dành riêng	(dtừ) reserve.
khu đất được cắm để chuẩn bị xây dựng	(dtừ) location.
khu đất được khoanh làm công viên	(dtừ) imparkation.
khu đất được rào làm bãi chăn nuôi	(dtừ) imparkation.
khu đất hoang mọc đầy bụi rậm	(dtừ) jungle.
khu đất mới có người đến ở lập nghiệp	(dtừ) settlement.
khu đất phá hoang	(dtừ) clearing.
khu đất rào	(dtừ) haw.
khu đấu xảo	() exhibition, exposition area.
khu đệm	() buffer zone.
khu điều dưỡng	() medical treatment area.
khu định cư	() kibbutz.
khu đóng quân	() barracks.
khu đóng quân	() billet.
khu đông luân-đôn	(dtừ) east end.
khu đông nữu-ước	(dtừ) east side.
khu đồi núi	() hilly zone.
khu đội	() recruiting station, inducting station.
khu gia binh	() married quarters.
khu gia viên	() residential district.
khu giải phóng	(dtừ) liberated zone.
khu giải trí	() xem khu vui chơi.
khu gom dân	() resettlement area.
khu hành chính	(dtừ) department.
khu hành chính	(ttừ) departmental.
khu hệ	() (sinh học) regional flora.
khu hệ	() regional fauna.
khu hoa-kiều	(dtừ) chinatown.
khu hoả lực	() beaten zone.
khu khai thác	(dtừ) field.
khu khai thác mỏ thiếc	(dtừ) stannary.
khu kiều dân	(dtừ) colony.
khu lao động	() workers' area, slum.
khu liên hợp	() complex.
khu liên hợp	() combine.
khu mổ	() surgicenter.
khu mổ	() surgical ward.
khu nghệ sĩ	() an artist colony.
khu nghỉ mát	() holiday resort.
khu nghỉ mát	() resort.
khu ngoại ô	(dtừ) environs.
khu ngoại trú	() outpatient ward.
khu người da đen	(dtừ) ghetto.
khu người do thái	(dtừ) ghetto.
khu nhà	(dtừ) messuage.
khu nhà liên kết	() housing estate.
khu nhà lớn	(dtừ) mansion.
khu nhà lụp xụp tồi tàn khu nhà ổ chuột	(dtừ) shantytown.
khu nhà ổ chuột	() ghetto.
khu nhà ổ chuột	() slum district/area.
khu nhà ổ chuột	() slums.
khu nhà ở	() residential quarter/area.
khu nhà ở của người giàu	(thngữ) brownstone district.
khu nhà ở ngoại ô	(dtừ) dormitory.
khu nhà vệ sinh	() toilet/sanitary block.
khu những người cùng nghề	(dtừ) colony.
khu nuôi thủy sản	(dtừ) farm.
khu phẫu thuật	() xem khu mổ.
khu phi quân sự	() demilitarized zone.
khu phi quân sự	() dmz.
khu phố	() ward.
khu phố	() quarter.
khu phố tồi tàn bẩn thỉu	(dtừ) purlieu.
khu rẫy	() cultivated area, cultivated fields.
khu rộng có mái nơi họp chợ	(thngữ) market hall.
khu rừng nhỏ	(dtừ) grove, holt.
khu sách	() urge.
khu sản phụ	() maternity ward.
khu sản phụ	() labour ward.
khu sân bãi	(dtừ) campus.
khu suất	() superintend, direct.
khu tam giác	() triangular zone.
khu tân sinh	() new life zone.
khu tây luân đôn	(dtừ) west end.
khu tập kết	() regroupment area, assembly area.
khu tập thể	() collective quarter, collective zone.
khu tập trung	() concentration zone.
khu thiết lộ	() railway division.
khu thu quân	() pick up area.
khu thuộc quyền giáo trưởng	(dtừ) patriarchate.
khu thương mại	() commercial district.
khu trắc nghiệm	() proving ground.
khu trị	() curb, cure.
khu trung tâm	(dtừ) heartland.
khu trung tuyến	(dtừ) midfield.
khu trú	() localize.
khu trù mật	() populous area (a type of agricultural town set up in south viet nam by the puppet government of ngo dinh diem).
khu trục	() (nói về máy bay) to fight.
khu trục cơ	() xem máy bay khu trục.
khu trục cơ ban đêm	() night fighter.
khu trục cơ hộ tống	() escort fighter.
khu trục hạm	() destroyer.
khu trục oanh tạc	() fighter-bomber.
khu trưởng	() area chief.
khu trừ	(đtừ) to eliminate.
khu tu bổ	() post engineers.
khu tuyển cử	() electoral district.
khu tụ họp bọn rượu chè lưu manh	(dtừ) skid row.
khu tứ giác	() four - cornered area.
khu tử địa	() no man's land, killing zone.
khu tự do	() liberated area.
khu tự trị	() autonomous area.
khu ủy	() organising committee of a zone.
khu ủy	() zone party committe.
khu ủy miền đông	() eastern nambo region party committe.
khu ủy miền tây	() western nambo region party.
khu ủy miền trung	() central nambo region party.
khu vui chơi	() amusement park.
khu vui chơi	() leisure center.
khu vườn	() garden.
khu vực	() zone.
khu vực	() area.
khu vực	() precinct.
khu vực	() (kinh tế học) sector.
khu vực ảnh hưởng	() sphere of influence.
khu vực báo chí	() press-gallery.
khu vực bảo trì sửa chữa	() service park.
khu vực bầu cử	() voting precinct.
khu vực bầu cử	() electoral district.
khu vực bầu cử	() constituency.
khu vực bên ngoài	(dtừ) outdoors, out-of-doors.
khu vực buôn bán	() shopping area.
khu vực cảnh sát	(dtừ) precinct.
khu vực cấm	() restricted area/zone.
khu vực cấm	() forbidden ground.
khu vực cấm	() preserve.
khu vực cấm	() no-go area.
khu vực cấm câu cá	(dtừ) preserve.
khu vực cấm đậu xe	() no parking area.
khu vực cấm săn	(dtừ) preserve.
khu vực chăn nuôi	() livestock breeding sector.
khu vực chung quanh	() surrounding area/region.
khu vực có hàng rào bao quanh	(dtừ) kampong.
khu vực có rào quanh để bắt voi	(dtừ) kheda.
khu vực duyệt binh	(dtừ) frontage.
khu vực dựng quán	(dtừ) stallage.
khu vực đánh cá ở biển sâu	(dtừ) haaf.
khu vực đạn động	() ballistic area.
khu vực đầm lầy	(dtừ) wetlands.
khu vực để đỗ ôtô	(dtừ) car-park.
khu vực đi tuần	(dtừ) beat.
khu vực đình trệ	(thngữ) depressed area.
khu vực địa hạt	(dtừ) circumscription.
khu vực đóng quân	() area where troops are stationed.
khu vực đóng quân	() barracks.
khu vực đồn trú	() staging/bivouac area.
khu vực đổ bộ	() landing zone.
khu vực giải trí	(dtừ) tenderloin.
khu vực giữa hai trận tuyến	(dtừ) no-man's-land.
khu vực hành chính	(dtừ) sheading, riding.
khu vực hành quân	() theatre of operations.
khu vực hành quân	() combat zone.
khu vực hải quan	() customs area.
khu vực hạ cánh	() landing area.
khu vực hạn chế đậu xe	() restricted parking area.
khu vực hoạt động	() sphere of activity.
khu vực kho	(dtừ) storage.
khu vực khống chế tốc độ	(dtừ) speed trap.
khu vực kinh tế	() sector of economy.
khu vực nằm trong phạm vi quyền hạn	(dtừ) jurisdiction.
khu vực ngân hàng	() banking sector.
khu vực nghệ sĩ	(dtừ) chelsea.
khu vực ngoài đường biên	(dtừ) side-line.
khu vực ngoài tầm bắn của pháo	(dtừ) dead ground.
khu vực nguy hiểm	() danger area/zone.
khu vực người mua	(dtừ) sale ring.
khu vực nhà báo	(dtừ) press-gallery.
khu vực nhà nước	() public sector.
khu vực nhà nước	() state sector.
khu vực nhảy dù	() jump area.
khu vực ở của hạ sĩ quan	(dtừ) steerage.
khu vực ở ngay trước gôn	(thngữ) goal-mouth.
khu vực phân phối	() distribution area.
khu vực phòng không	() air defense area.
khu vực phòng thủ	() defense area.
khu vực phòng thủ	() sector of defense.
khu vực quan sát	() observing sector.
khu vực quản lý	(dtừ) obedience.
khu vực quản trị	() service area.
khu vực quân sự	() military area.
khu vực quân y	() sanitary area.
khu vực quyền hành	(dtừ) obedience.
khu vực sát thương	() kill zone.
khu vực săn bắn	(dtừ) chase, hunt, hunting-ground, shooting, chace.
khu vực săn đuổi	(dtừ) beat.
khu vực tác chiến	() maneuvering area.
khu vực tác chiến	() theatre of operations.
khu vực tản quân	() dispersal area.
khu vực tập kết	() assembly area.
khu vực tập kết	() regrouping area.
khu vực tập trung	() concentration area.
khu vực tập trung	() staging area.
khu vực thả dù	() drop zone.
khu vực thả hàng	() drop zone.
khu vực tiến quân	() approach zone.
khu vực tiếp vận	() staging area.
khu vực tiền đồn	() outpost sector/area.
khu vực tiền tệ	() monetary area.
khu vực tiền tuyến	() combat/forward area.
khu vực trung tâm	(dtừ) nerve.
khu vực truyền giáo	(dtừ) mission.
khu vực trú ẩn	() shelter area.
khu vực trước sân khấu	(dtừ) parterre.
khu vực tuyển cử	(dtừ) precinct.
khu vực tư nhân	() private sector.
khu vực tử địa	() killing zone.
khu vực tử địa	() no man's land.
khu vực tự do	() free zone.
khu vực vui chơi	() play area.
khu vực xa cửa thành	(dtừ) outfield.
khu vực xây dựng bừa bãi xấu xí	(dtừ) subtopia.
khu vực xung quanh đài phát thanh	(dtừ) service area.
khu xóm	() housing area, hamlet.
khu xử	() arrange, settle.
khua	(đtừ) to strike.
khua	(đtừ) to beat.
khua chuông gióng trống	() to make a lot of noise about something.
khua chuông gõ mõ	() xem khua chuông gióng trống.
khua khoắng	() search everywhere, rummage on all sides.
khua lạch cạch	(ngđtừ) rattle.
khua môi múa mép	(nđtừ) orate.
khua môi múa mép	(thngữ) chins (beards, jaws, tongues) were wagging.
khuân	(đtừ) to carry.
khuân vác	() carry somewhere else.
khuân vác	() transfer somewhere else.
khuân vác	() load.
khuân xuống	(ngđtừ) dismount.
khuây	() to solace.
khuây	() to relieve.
khuây	() to alleviate.
khuây khoả	(dtừ) relief.
khuây khoả	(ngđtừ) solace, relieve.
khuây sầu	() xem giải sầu.
khuất	() (be) hidden from view,(be) sheltered from.
khuất	() (be) absent.
khuất	() (be) gone.
khuất	() (be) dead and gone.
khuất	() be brought to one's knees, be subdued.
khuất bóng	() in the shade.
khuất bóng	() (trang trọng) dead (and gone).
khuất chiết	() inflection.
khuất chí	() submit oneself.
khuất gió	() sheltered from the wind.
khuất khúc	() full of twists and turns tortuous.
khuất mắt	() out of sight.
khuất mặt	() away, absent, out of sight.
khuất mây	() be hidden behind clouds.
khuất nẻo	() out-of-the-way.
khuất nhục	() (ít dùng) kiss the dust, kiss the ground, submit.
khuất núi	() như khuất bóng.
khuất phục	(đtừ) to yield.
khuất phục	(đtừ) to submit.
khuất phục không cưỡng lại được	(ttừ) overpowering.
khuất sau	() hidden behind (something).
khuất tạp	() shady.
khuất tất	() dubious and tortuous.
khuất thân	() bow to.
khuất tiết	() (cũ) give up one's uprightness.
khuất tùng	() be forced to submit.
khuấy	(đtừ) to stir.
khuấy	(đtừ) to move around.
khuấy bằng gậy	(ngđtừ) rabble.
khuấy động	() rouse.
khuấy đục	() (nước) roil.
khuấy rối	() provoke an uproar in, behave rowdily in.
khuấy tung lên	(đtừ) churn.
khuẩn	() (vi khuẩn) bacterium.
khuẩn bách	() be hard up (for money).
khuẩn cầu	(dtừ) coccus.
khuẩn cầu chuỗi	(dtừ) streptococcus.
khuẩn cầu chùm	(dtừ) staphylococcus.
khuẩn cầu chùm	(ttừ) staphylococcic.
khuẩn dài	() bacillus.
khuẩn dài ruột	() colon bacillus.
khuẩn đoạ thai	() bacillus abortus.
khuẩn liên cầu	(dtừ) streptococcus.
khuẩn que	(dtừ) bacillus.
khuẩn que	(ttừ) bacillary.
khuẩn ti thể	() mycelium (of fungus).
khuẩn tròn	() coccus, cocci.
khuẩn tròn ruột	() enterococcus.
khuẩn tụ cầu	(dtừ) staphylococcus.
khuẩn xoắn	() spirochaeta.
khuê các	(dtừ) room of a maiden.
khuê giác	() jade tablet.
khuê khổn	() (cũ.
khuê khổn	() văn chương) harem,gynaeceum.
khuê li (ly)	() separation, be separated a long time.
khuê môn	() (cũ,văn chương) như khuê khổn.
khuê nữ	() (cũ,văn chương) damsel (of a feudat high family).
khuê phòng	() xem phòng the.
khuê tảo	() diatom.
khuê tú	() refined maiden.
khuê vị	() boudoir.
khuếch	() brag.
khuếch âm	() emphasizing, amplifier.
khuếch đại	() to amplify.
khuếch đại	() to magnify.
khuếch đại âm tần	() audio amplifier.
khuếch đại cao tần	() radio amplification.
khuếch đại dao động	() oscillator amplifier.
khuếch đại đệm	() buffer amplifier.
khuếch khoác	(đtừ) to boast, to brag.
khuếch tán	(đtừ) to diffuse.
khuếch trương	() to develop.
khuếch trương	() to expand.
khui	() to unpack.
khui	() to open.
khui lỗ	(ngđtừ) pierce.
khum	() curved,bent, arched, convex.
khum khum	() xem khum (láy).
khum khum như mai rùa	(ttừ) testudinate.
khum lên	(dtừ) camber.
khum lên	(đtừ) camber.
khung	() frame.
khung ảnh	(dtừ) framework.
khung ảnh lồng kính	(dtừ) passe-partout.
khung ấp trứng cá	(dtừ) grille.
khung bán nguyệt	(dtừ) centre.
khung cánh cửa sổ	(dtừ) casement.
khung cảnh	() setting.
khung cảnh	() context.
khung cảnh	() framework.
khung cảnh hoạt động	(dtừ) stage.
khung căng	(dtừ) tenter, stretcher.
khung cần trục	(dtừ) portal.
khung chắn lò sưởi	(dtừ) fire-guard.
khung chắn nối thêm	(dtừ) rave.
khung chậu	() (giải phẩu) pelvis.
khung chì lắp kinh	(dtừ) came.
khung cưa	(dtừ) saw-frame.
khung cửa	() doorframe, door-case.
khung cửa kính	() window frame.
khung cửa lò	() frame of furnace door.
khung cửa sổ	() windowframe.
khung cửi	() loom.
khung cửi khổ hẹp	(dtừ) scarf-loom.
khung dệt	() loom.
khung dệt jăcka	(dtừ) jacquard loom.
khung để dát	(dtừ) setting.
khung gạt	(dtừ) cradle.
khung gầm	() chassis.
khung giường	() bedstead.
khung go	() weaving frame.
khung gỗ	() wood frame.
khung hình	() picture frame.
khung kéo phông	(dtừ) gridiron.
khung khoá	() lock frame.
khung khuôn	(dtừ) flask.
khung kiến tạo	() tectonic framework.
khung kính	() mirror frame.
khung kính trượt	(dtừ) sash.
khung leo	(dtừ) climb-frame.
khung lỗ	(dtừ) partner.
khung lưới sắt	(dtừ) portcullis.
khung máy bay	(dtừ) air-frame.
khung nhà	() house frame.
khung nhà	() fabric.
khung nhẹ	(dtừ) crinoline.
khung phi cơ	() airframe.
khung phơi quần áo	() clothes-horse.
khung rửa quặng	(dtừ) frame.
khung sắp chữ	(dtừ) composing-stick.
khung thành	() (thể thao) goal.
khung thép	(dtừ) steelwork.
khung thêu	() tambour-frame.
khung thêu	() embroidery frame.
khung tò vò	() arch.
khung tranh	(dtừ) framework.
khung trời	() heaven.
khung vòm	(ttừ) arched.
khung xe	() bodywork (of a motor vehicle).
khung yên	(dtừ) saddle-tree.
khuôn	(dtừ) shape.
khuôn	(dtừ) pattern.
khuôn	(dtừ) mould.
khuôn bánh quế	(thngữ) waffle-iron.
khuôn cát	() sand mold.
khuôn cầu	() panel.
khuôn chữ	() type mold.
khuôn cối	(dtừ) matrix.
khuôn duyên	() marriage tie.
khuôn dưới	(dtừ) matrix.
khuôn định khổ giấy	(dtừ) deckle.
khuôn đổ bê tông	() trunking, form.
khuôn đúc	(dtừ) cast.
khuôn ép	(dtừ) swage.
khuôn giày	(dtừ) last.
khuôn giăng	() moon - face.
khuôn giầy	() shoetree.
khuôn hàn	() welding jig.
khuôn in	(dtừ) plate.
khuôn khổ	() framework.
khuôn khổ	() scope.
khuôn lấy ở mặt người chết	(dtừ) death-mask.
khuôn linh	() the creator.
khuôn mặt	() face.
khuôn mẫu	(dtừ) model, pattern.
khuôn nhà lớn	(dtừ) block.
khuôn phép	() rule of behaviour, rule of conduct, discipline.
khuôn phòng	() chamber frame.
khuôn phù	() (cũ) support (a dynasty).
khuôn rập	(dtừ) swage.
khuôn sáo	(dtừ) routine.
khuôn thiêng	() (cũ,văn chương) the creator.
khuôn tô	(dtừ) stencil.
khuôn trăng	() (cũ,văn chương) fair face.
khuôn uy	() stern expression.
khuôn vàng thước ngọc	() golden rule.
khuôn viên	() precinct.
khuôn viên	() campus.
khuôn xanh	() (cũ, văn chương) như khuôn thiêng.
khuôn xếp	() settle, see to (something) done satisfactorily.
khuông cửa	() door - case, casing.
khuông nhạc	(dtừ) staff.
khuông nhạc	(dtừ) stave.
khuông phò	() assist.
khuông phù	() help, assist, aid (a dynasty).
khuy	() button-hole.
khuy áo	() button.
khuy áo hình quả ôliu	(dtừ) olive.
khuy áo nhỏ hình quả ôliu	(dtừ) olivet.
khuy bấm	(dtừ) press-stud.
khuy bấm	(dtừ) snap-fastener.
khuy bấm	(dtừ) popper.
khuy cổ	() collar stud, collar button.
khuy cửa tay	(dtừ) sleeve-link, link.
khuy khuyết thùa	(dtừ) frog.
khuy khuyết thùa	(ttừ) frogged.
khuy măng sét	() duff-link.
khuy móc	() hook fastener.
khuy móc cổ cồn	(dtừ) collarstud.
khuy nhựa	() plactic button.
khuy nút	() button.
khuy tết	() plaited button.
khuy trai	(dtừ) pearl-button.
khuy vân mẫu	() mica buttons.
khuya	() late at night.
khuya khoắt	() như khuya.
khuya lắc	() midnight.
khuya sớm	() day at night.
khuyên	() to advise.
khuyên	() to recommend.
khuyên	() to admonish.
khuyên bảo	(đtừ) to admonish.
khuyên bảo trước	(dtừ) preadmonition.
khuyên bảo trước	(ngđtừ) preadmonish.
khuyên can	(đtừ) to dissuade.
khuyên dạy	() advise and teach.
khuyên dỗ	() comfort, console.
khuyên giáo	() make a collection (nói về người đạo phật).
khuyên giải	() to console.
khuyên giải	() to solace.
khuyên giải ai	(ngđtừ) assuage.
khuyên lơn	() advise, counsel.
khuyên ngăn	() advise against something.
khuyên nhủ	() admonish lovingly.
khuyên răn	() admonish.
khuyên sai	(ngđtừ) misadvise.
khuyên tai	() earrings.
khuyên trước	(ngđtừ) preadvise.
khuyến cáo	(đtừ) to recommend.
khuyến công	() stimulate industry.
khuyến dụ	() (cũ) give recommen-dation, advise.
khuyến học	() to encourage study.
khuyến khích	() to encourage.
khuyến khích hy vọng	(thngữ) build up.
khuyến mãi	() to promote.
khuyến mãi	() on special offer.
khuyến mãi	() promotional.
khuyến mãi	() sales promotion.
khuyến nghiệp	() encourage industry.
khuyến nghị	() recommend, give recommendations.
khuyến nông	() to encourage agricultural expansion.
khuyến thiện	() (cũ) encourage people to do good, encourage good actions.
khuyến thưởng	() encouragement.
khuyết	(ttừ) wanting.
khuyết	(ttừ) lacking.
khuyết	(ttừ) missing.
khuyết	(ttừ) vacant.
khuyết áo	(dtừ) loop, buttonhole.
khuyết danh	() anonymous.
khuyết điểm	() gap.
khuyết điểm	() lacuna.
khuyết điểm	() shortcoming.
khuyết điểm	() defect.
khuyết điểm	() demerit.
khuyết sử	() prehistory.
khuyết tật	() defect.
khuyết tật	() flaw.
khuyết tật	() handicap.
khuyết tật	() disability.
khuyết tật bẩm sinh	() congenital defect.
khuyết tật dễ thấy	() apparent defect.
khuyết tật do sản xuất	() defect of manufacturing.
khuyết tật kín	() latent defect.
khuyết tật vốn có	() inherent defect.
khuyết tịch	() (luật) default.
khuyết vị	() vacant position.
khuyết xỉ	() toothless.
khuyển	(dtừ) dog.
khuyển binh	() war-dog.
khuyển mã	() (xấu) dog and horse.
khuyển mã	() loyal servants.
khuyển nho	() cynic.
khuyển ưng	() (cũ) hireling.
khuynh	(ttừ) inclined.
khuynh diệp	() eucalyptus essential oil.
khuynh đảo	(đtừ) to subvert.
khuynh đảo	(đtừ) to topple.
khuynh độ	() gradient.
khuynh gia bại sản	() xem sạt nghiệp.
khuynh hướng	() trend.
khuynh hướng	() tendency.
khuynh hướng dân chủ	(dtừ) democratism.
khuynh hướng hoành tráng	(dtừ) monumentalism.
khuynh hướng lạc hậu	(dtừ) retrograde.
khuynh hướng thiên về	(dtừ) predisposition.
khuynh hướng thoát ly thực tế	(dtừ) escapism.
khuynh hướng xen kẽ	(thngữ) the swing of the pendulum.
khuynh hữu	() như hữu khuynh rightist deviationistic.
khuynh loát	() overturn, overthrow.
khuynh quốc	() xem khuynh quốc.
khuynh quốc	() have a striking beauty, extraordinary beauty, be devastatingly beautiful (khuynh quốc khuynh thành).
khuynh tả	() như tả khuynh leftist deviationistic.
khuynh tâm	() metacenter, metacentre.
khuynh thành	() bewitching.
khuỳnh	() to stand with arms akimbo.
khuỳnh chân	() to straddle one's legs.
khuỳnh khuỳnh	() (đứng khuỳnh khuỳnh) with arms akimbo.
khuỳnh tay	() to spread out one's elbows.
khuỷu	() (cũng nói) khuỷu tay elbow.
khuỷu	() bend of a river.
khuỷu chân sau	(dtừ) stifle.
khuỷu núi	() mountain book.
khuỷu ống	(dtừ) offset.
khuỷu sông	() river bend.
khuỷu tay	(dtừ) ancon, elbow.
khuỷu tay áo	(dtừ) elbow.
khuỷu trên móng	(dtừ) fetlock.
khuỵu	() to drop.
khuỵu	() to collapse.
khú	() pungently sour (like sour cabbage turning bad, or damp clothes).
khúc	(dtừ) piece.
khúc	(dtừ) section.
khúc	(dtừ) chunk.
khúc balat	(dtừ) ballad.
khúc bi ai	(dtừ) elegy.
khúc bi thương	(ttừ) elegiac.
khúc bì	() dermatone.
khúc ca	(dtừ) air, descant.
khúc cá	() portion of a fish.
khúc cắt bỏ đầu	(dtừ) crop.
khúc cây	() stick.
khúc chiết	(ttừ) clear.
khúc chiết	(ttừ) concise.
khúc chiết	(ttừ) compendious.
khúc cong	(dtừ) hook, crinkle, twist.
khúc cóp nhặt	(dtừ) pasticco.
khúc côn cầu	() (cũ) như hốc cây.
khúc cơ lưng	() epimere.
khúc cuộn	() convolution.
khúc cuộn não	() cerebral convolutions.
khúc củi đang cháy dở	(dtừ) brand, fire-brand.
khúc củi đốt ngày lễ nô-en	(dtừ) yule-log.
khúc dạo	() (music) overture.
khúc dây	() stub.
khúc điệp	(dtừ) bob.
khúc đò đưa	(dtừ) barcarole.
khúc đồng diễn	(dtừ) ensemble.
khúc đồng quê	(dtừ) idyll, pastorale.
khúc đồng quê	(ttừ) idyllic.
khúc đưa đám	(dtừ) dead march.
khúc gỗ	() section of a tree trunk.
khúc gỗ để cưa	(dtừ) saw log.
khúc gỗ mới đốn	(dtừ) log.
khúc gỗ mới xẻ	(dtừ) log.
khúc hát	() song.
khúc hát tiếp nhau	(dtừ) troll.
khúc hổ lốn	(dtừ) olio.
khúc kécsô	(dtừ) scherzo.
khúc kha khúc khích	() xem khúc khích (láy).
khúc khải hoàn	() song of triumphal return.
khúc khải hoàn	() song of victory.
khúc khải hoàn	() triumphal hymn.
khúc khải hoàn	() paean.
khúc khích	() giggling.
khúc khuẩn	() vibrio.
khúc khuỷu	(ttừ) sinuous.
khúc khuỷu	(ttừ) tortuous.
khúc khuỷu	(dtừ) sinuosity.
khúc luyện	(dtừ) ôtude.
khúc lượn	(dtừ) winding.
khúc lượn quanh co	(dtừ) twist.
khúc mắc	() hitch, difficulty.
khúc mắt	() (khúc mắt) - difficult, difficult to understand, knotty, difficult to solve&.
khúc môi	() (cũ, văn chương) inmost fellings.
khúc mơ màng	(dtừ) reverie.
khúc mở đầu	(dtừ) introduction.
khúc mở màn	(dtừ) overture.
khúc nghê thường	() a song sung by angels.
khúc ngoặc	() turn.
khúc ngoặt đột ngột	(dtừ) double.
khúc nhạc	(dtừ) music, air, strain.
khúc nhạc chiều	(dtừ) serenade.
